Geneid	0	15	30	45	60	75	90	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-CCNA_00166	1.0	0.9706508909508922	0.7783864602814605	0.8503383055374223	0.7962908750888928	0.9769659477981711	0.9991581423492303	host	hvyA	None	None	1.5360484488274355
gene-CCNA_01204	1.0	0.7228452733909793	0.8233556253081534	0.8596750874854354	0.8667240967659495	0.8729967440415636	0.9719510821102921	host	gene-CCNA_01204	None	None	0.6269980019613813
gene-CCNA_02892	0.8561789619552701	1.0	0.9710979467263695	0.9094144806525581	0.9753569967723807	0.8682162198912078	0.9657243061439357	host	gene-CCNA_02892	None	None	0.7131003937518519
gene-CbK_gp128	1.405819806978031e-05	0.21979036922714856	0.653972439982776	1.0	0.8937134304787696	0.8687649459810791	0.895184625605933	phage	gene-CbK_gp128	early	middle	614.2067443703226
gene-CCNA_01330	1.0	0.7272868393916961	0.7707027346904444	0.6142112168381091	0.593150658023758	0.5005984608495838	0.516634312945546	host	rpoA	None	None	158.54788016647257
gene-CCNA_03723	1.0	0.6384617743630682	0.5782061726362017	0.7160316126704797	0.6516945773003479	0.8251617925195884	0.6033631776802455	host	gene-CCNA_03723	None	None	1.0918164301371502
gene-CCNA_01978	1.0	0.5677576605322121	0.566971096087718	0.5685622002663165	0.5393498372191987	0.5182642238792029	0.5457675840451425	host	gene-CCNA_01978	None	None	3.6600018246999637
gene-CCNA_00696	0.9404623338473369	0.9894815608377283	0.818834500871744	1.0	0.8137111179276418	0.960550726016172	0.9298840886315342	host	gene-CCNA_00696	None	None	1.5189518575380634
gene-CCNA_03394	1.0	0.6177418045310825	0.7064417070666095	0.7095453199895764	0.7027406359336107	0.682193058925016	0.6774008929863699	host	dgcA	None	None	1.7688191235744561
gene-CCNA_01413	1.0	0.7639962964411942	0.7669295527633309	0.8297162441518656	0.776139469122191	0.7040103225637855	0.7807525857479186	host	gene-CCNA_01413	None	None	2.1171370738235273
gene-CCNA_00740	1.0	0.745275406085586	0.7424899168774435	0.7394689925023963	0.8125607274154969	0.7733329604511359	0.7948717889222936	host	gene-CCNA_00740	None	None	0.7758080212244286
gene-CCNA_02441	0.83419870524708	1.0	0.7589320563593468	0.9041570727886138	0.8590927589988979	0.8782140502172526	0.7154999788721073	host	gene-CCNA_02441	None	None	0.42367230427523295
gene-CCNA_00978	1.0	0.6850161311269594	0.6959447120291097	0.7731324249664768	0.758500810165005	0.7714369248480872	0.7800832139654923	host	gene-CCNA_00978	None	None	1.1636569817372497
gene-CCNA_02409	1.0	0.39702364190000977	0.3630840688977942	0.3986592535753694	0.38700280388493885	0.3829547572684893	0.3858599229563871	host	gene-CCNA_02409	None	None	12.912134879561378
gene-CCNA_03959	1.0	0.4843428730736909	0.37263749719368866	0.4510932171243208	0.3743926924916484	0.3701001645416501	0.3858061089604232	host	gene-CCNA_03959	None	None	91.91249577971462
gene-CCNA_R0106	1.0	0.4834335219414447	0.336749694404119	0.3778926079356314	0.3574364178931082	0.46484693705093905	0.42289254164664536	host	gene-CCNA_R0106	None	None	44.52670316076098
gene-CCNA_00559	1.0	0.6244931464061575	0.6131757536626995	0.629994849480092	0.6171131042298066	0.5380341519900543	0.5789498631135442	host	metX2	None	None	3.3487415654868715
gene-CCNA_01316	0.8216575458917327	0.8599458051914941	1.0	0.7095897975098591	0.7226449319698082	0.6118685488770971	0.6125535488506616	host	rplN	None	None	157.70607860840335
gene-CCNA_01303	0.4214917572779834	0.5447716181451475	0.7110372460274285	0.8599050067464316	0.9153737470835642	0.9393901151489474	1.0	host	gene-CCNA_01303	None	None	18.873111142898217
gene-CCNA_01174	0.8397650644241395	0.8026054552740235	1.0	0.9471142509987994	0.9121172220307833	0.9010903172231408	0.9090919304008744	host	gene-CCNA_01174	None	None	0.4675093907464331
gene-CCNA_00302	1.0	0.5865933846676156	0.6318207718816278	0.6336341681635959	0.6793930241771131	0.6429433898342469	0.749894529840654	host	gene-CCNA_00302	None	None	1.3427525437200354
gene-CCNA_01866	1.0	0.5214934072038375	0.5798080888118708	0.5323593017416776	0.592847963116788	0.5612973512791444	0.6150529275702736	host	acrB4	None	None	0.9558640620592223
gene-CCNA_02305	1.0	0.7645841970454113	0.7035484679364312	0.8697241342998016	0.653485214469765	0.7777427035925383	0.770713479077044	host	gene-CCNA_02305	None	None	0.9641101010569655
gene-CCNA_02125	1.0	0.7136333372443707	0.6168605473863443	0.6321938424315221	0.5686136683377983	0.653294814062829	0.5875945759564197	host	podJ	None	None	3.1990425802264864
gene-CCNA_03798	1.0	0.5919754202289569	0.6733866369647735	0.7572282140895445	0.7109997014007379	0.6841561323538531	0.6770796031569383	host	mtaB	None	None	1.623451689324907
gene-CCNA_01066	1.0	0.6087137987851269	0.6219325627995135	0.5776397910936135	0.5942976699108194	0.5708456078695605	0.5655360542335982	host	gene-CCNA_01066	None	None	5.509756622413348
gene-CCNA_00225	1.0	0.940871774805081	0.6209618719423962	0.8846689449918691	0.6208564704441407	0.7905403773803339	0.6413149117748936	host	gene-CCNA_00225	None	None	6.64352765129938
gene-CCNA_02388	1.0	0.6969732699559911	0.7507234893836644	0.7938888287654892	0.8009768681417487	0.7917013751030121	0.8304194521418967	host	rpiA	None	None	1.4862022924289708
gene-CCNA_01505	1.0	0.46694764420781165	0.40842012420198837	0.3800746573794121	0.3722622081251382	0.39807459322336775	0.391524046184139	host	mbiA	None	None	58.953572240430866
gene-CCNA_00198	1.0	0.7980522774315209	0.787580708721315	0.721142603169941	0.6458275752775507	0.5661233670607732	0.5889349798810555	host	trmD	None	None	35.62627280656447
gene-CCNA_02868	0.5933688758401836	0.5435074990864376	0.38917336404316266	0.6174417184239598	0.4211848427048327	0.9581689677718448	1.0	host	gene-CCNA_02868	None	None	0.7480742094369327
gene-CCNA_01117	1.0	0.6123321551929751	0.6566866175454606	0.6959898625602374	0.6235011263698276	0.6290456977950948	0.6604300847509311	host	fssA	None	None	1.009592688521545
gene-CCNA_R0092	1.0	0.47114419325768747	0.40432251350828813	0.4175675918003494	0.4252153119642931	0.4510073852803156	0.5046177469752311	host	gene-CCNA_R0092	None	None	34.39938559993127
gene-CCNA_00607	1.0	0.6638031433350716	0.593772247541762	0.6447067435726974	0.6411229407644871	0.6304820836710138	0.5857349506709055	host	gene-CCNA_00607	None	None	0.4267979588388949
gene-CCNA_01327	1.0	0.8808694121323527	0.7685555798486766	0.7350824388000499	0.6482711588781999	0.62748539945358	0.6214759477116276	host	adk	None	None	31.065342548312838
gene-CCNA_00176	0.9908837473438347	1.0	0.6480891338745368	0.6717927928959034	0.7579896071778646	0.6309588136826846	0.7355820579508042	host	gene-CCNA_00176	None	None	0.7897944901227029
gene-CCNA_00043	1.0	0.7868645411638947	0.6979925498200601	0.5230024931885316	0.5492648176373591	0.49531048578478026	0.490508316780937	host	nusA	None	None	24.532982161396383
gene-CCNA_03962	0.8194852297592965	0.986010806294899	0.69811409795273	1.0	0.5725441265840099	0.9246115259207454	0.7600634203673353	host	gene-CCNA_03962	None	None	6.797852127657236
