ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-JD032_1	97	119	HNH endonuclease	DNA, RNA and nucleotide metabolism	119	78	0.499	6.91e-21	119	74.161095	1.8322360649221846e-20	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_2	96	10762	hypothetical protein	unknown function	10762	124	0.833	7.823999999999999e-38	10762	136.085846	7.186063738557609e-40	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_3	167	216	integrase	integration and excision	216	98	0.328	8.806000000000001e-26	216	172.473999	2.185493350886876e-50	#fea328	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_4	155	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_5	153	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_6	86	5164	hypothetical protein	unknown function	5164	100	0.608	6.701e-29	5164	126.759972	5.682832735782578e-37	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_7	94	8087	hypothetical protein	unknown function	8087	98	0.563	4.281e-28	8087	101.400223	4.296130242651802e-29	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_8	51	3794	hypothetical protein	unknown function	3794	63	0.78	5.784e-17	3794	72.141823	4.103055077413073e-20	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_9	126	44	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	44	110	0.469	7.257e-32	44	165.405823	4.3031915123870325e-48	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JD032_10	71	6593	hypothetical protein	unknown function	6593	127	0.849	8.515e-39	6593	139.480438	5.489449202268701e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
