Geneid	0_R1	0_R2	0_R3	0_R4	2_R1	2_R2	2_R3	2_R4	5_R1	5_R2	5_R3	5_R4	10_R1	10_R2	10_R3	10_R4	20_R1	20_R2	20_R3	20_R4	30_R1	30_R2	30_R3	30_R4	40_R1	40_R2	40_R3	40_R4	Entity	Symbol
gene-NRS_1012	43054	47775	53168	44422	38920	47773	35104	33907	51712	37112	26469	48763	24807	33222	25634	19356	9320	9146	8872	12270	7274	7205	6865	7106	5375	5823	5253	6208	host	gene-NRS_1012
gene-NRS_44	287	260	412	365	408	383	389	315	358	261	244	225	266	199	191	166	51	119	89	127	45	57	23	51	51	38	40	66	host	gene-NRS_44
gene-NRS_2528	1334	1285	1390	1279	1159	1344	997	892	1392	863	737	1228	678	881	653	584	271	285	245	351	231	264	197	252	212	182	195	213	host	gene-NRS_2528
gene-NRS_436	11378	14450	13290	10573	9133	11121	7505	8736	13001	9450	10911	14696	6223	8522	5636	4886	1951	2180	1921	2992	2316	1755	2133	1601	1290	1278	1416	1218	host	gene-NRS_436
gene-NRS_219	610	590	734	624	598	697	513	438	710	510	405	610	369	443	360	300	117	132	111	190	61	64	63	71	61	48	70	58	host	gene-NRS_219
gene-NRS_242	325	353	366	379	251	326	236	224	293	236	144	262	176	182	137	139	27	43	31	66	23	21	13	17	15	20	12	14	host	gene-NRS_242
gene-NRS_630	1231	1180	1378	1186	1000	1113	1027	858	1496	978	1151	1319	850	1114	860	633	280	351	284	574	281	328	301	366	259	251	243	326	host	gene-NRS_630
gene-NRS_1450	56	52	69	60	64	60	61	55	61	46	67	33	44	38	38	27	12	12	8	12	7	9	10	11	7	12	10	9	host	gene-NRS_1450
gene-NRS_385	617	536	820	729	718	720	715	584	790	481	492	569	478	459	378	274	141	251	169	276	129	130	92	124	151	121	138	163	host	gene-NRS_385
gene-NRS_687	3233	3442	3667	3079	2724	3006	2451	2117	3385	2450	2588	3388	1867	2347	1654	1517	658	826	632	1096	603	616	440	613	517	505	477	446	host	gene-NRS_687
gene-NRS_1566	18476	21640	21559	19775	19135	19251	16466	14005	19621	13601	17549	15929	10404	11630	10152	7165	2899	3758	3136	4771	2381	2478	2171	2289	1629	1595	1820	1699	host	gene-NRS_1566
gene-NRS_2331	1783	1709	2371	2057	1930	2369	2078	1628	2250	1423	1181	2028	1160	1472	1165	929	516	598	514	707	258	390	216	334	241	244	222	318	host	gene-NRS_2331
gene-CPT_phageK_gp138	1224	1503	1892	2027	28547	22709	26345	20803	172516	106841	122598	112473	180221	176909	168130	117677	44781	65797	57765	74090	22232	22621	18793	21207	15341	11775	13561	13429	phage	gene-CPT_phageK_gp138
gene-NRS_1513	80	78	134	134	166	114	156	117	192	111	161	102	85	91	92	51	37	42	24	67	25	43	53	39	26	30	39	47	host	gene-NRS_1513
gene-NRS_2150	271	236	379	299	345	341	396	248	345	208	282	256	195	241	164	135	54	113	91	104	42	64	28	43	22	33	27	39	host	gene-NRS_2150
gene-NRS_661	1106	997	1246	1263	1139	1234	1074	807	1103	825	858	1045	664	796	653	507	157	242	167	332	82	120	65	123	73	77	103	115	host	gene-NRS_661
gene-NRS_1071	12436	12758	14076	12430	10674	12786	9602	9660	13316	9627	7311	11588	7015	8544	6962	5295	2146	2459	2188	3146	1652	1579	1179	1585	1231	1221	1170	1424	host	gene-NRS_1071
