Geneid	-1	0	2	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SAURSH1000_RS00755	0.6559602344936273	1.0	0.9863702572386985	0.8068444036708992	0.6386681179462362	0.36243664443709783	0.2498278454706487	host	gene-SAURSH1000_RS00755	None	None	6.936595257287075
gene-SAURSH1000_RS10935	0.7208045964437461	0.9497811822301222	1.0	0.834857918838787	0.7742049144356954	0.4097751666415043	0.35143302743429383	host	gene-SAURSH1000_RS10935	None	None	8.818810149158256
gene-SAURSH1000_RS03700	0.6230660638039613	1.0	0.932432663571388	0.7694254465667183	0.5333241929874097	0.26734297175579397	0.22965087081087576	host	gene-SAURSH1000_RS03700	None	None	12.842345153898634
gene-SAURSH1000_RS06540	0.8798019614092103	0.9972760802631622	1.0	0.9294372428412642	0.7294335233994972	0.39550170635725873	0.32356614588220817	host	cspA	None	None	1327.8972863005351
gene-SAURSH1000_RS01440	0.7513328067970689	1.0	0.7141619113130862	0.5038366511787586	0.2715257812934775	0.22872694181767397	0.14027792981217488	host	gene-SAURSH1000_RS01440	None	None	13.082803969588635
gene-SAURSH1000_RS07080	0.6500008794469792	1.0	0.8453198520079017	0.5701017711318332	0.39658334619330293	0.2293660352608415	0.17183767961506002	host	zwf	None	None	37.34879625673477
gene-SAURSH1000_RS07610	0.5343117922664457	0.9497922589871758	1.0	0.7391903902779318	0.36236995383303633	0.1988819292899199	0.19187834292727773	host	gene-SAURSH1000_RS07610	None	None	61.732415843263
gene-SAURSH1000_RS03955	0.6414639384173492	1.0	0.875016184179865	0.8210176771235527	0.8577506538495203	0.41036413298787777	0.2615689964546614	host	gene-SAURSH1000_RS03955	None	None	7.562559409256119
gene-CPT_phageK_gp182	1.4782022055207692e-05	0.002639322468377817	0.0013124493080766929	0.0312906638330815	0.19287966874708223	0.9606799867034905	1.0	phage	gene-CPT_phageK_gp182	middle	late	3261.063464931053
gene-CPT_phageK_gp187	0.0004117224493027378	0.00404016827698677	0.0004740914562451517	0.004565595063911006	0.06550253467425124	0.7466913331542333	1.0	phage	gene-CPT_phageK_gp187	middle	late	370.63562661693527
gene-CPT_phageK_gp175	8.289639153484106e-06	0.002325131752854502	0.0002501255953056832	0.0014792429203849882	0.017632983705728852	0.5237070253374164	1.0	phage	gene-CPT_phageK_gp175	middle	late	6275.615606895609
gene-SAURSH1000_RS03220	0.6723910625269153	1.0	0.859069277401383	0.6499402952897962	0.45857825833745924	0.25225294333826803	0.2178582702963697	host	gene-SAURSH1000_RS03220	None	None	18.424060792713092
gene-SAURSH1000_RS05805	0.6189523574953165	0.9953840544157413	1.0	0.8366654521509036	0.4660173861826628	0.26269197727622473	0.23727571644667467	host	rimP	None	None	47.24460159443308
gene-SAURSH1000_RS12440	0.7566176340198839	0.9123653259859504	0.5863678045715168	0.30599962659873353	1.0	0.642681474858502	0.3683506847215436	host	gene-SAURSH1000_RS12440	None	None	8.166926988387075
gene-SAURSH1000_RS08185	0.6552089241137505	0.8756638531540089	1.0	0.8635780154387988	0.5769888620127234	0.3011323602307839	0.24578871393916363	host	tyrS	None	None	16.76024361236768
gene-SAURSH1000_RS12305	0.40957270433805315	0.6783154009750421	0.6325938631785268	0.4804103239575373	1.0	0.570149907811098	0.35296297136805915	host	ptsG	None	None	47.578137321332285
gene-SAURSH1000_RS05770	0.547612804139587	1.0	0.7459187289930348	0.6363468790118916	0.37172436243145957	0.17037236785558627	0.1480658371780527	host	pyrH	None	None	112.57597998697625
gene-SAURSH1000_RS02210	1.0	0.9726938124012896	0.6851245911065219	0.5081271504579368	0.7779153513917554	0.6708051369636161	0.4077330070676489	host	spoVG	None	None	137.56149836679924
gene-SAURSH1000_RS02895	0.6641788436387729	0.9482074972427622	1.0	0.766245295199054	0.5943251463336371	0.3058960874229839	0.2401529372134708	host	gene-SAURSH1000_RS02895	None	None	16.566489000830313
gene-SAURSH1000_RS13130	0.6166532133735344	1.0	0.9440222250246422	0.9786670103298396	0.8222320350197879	0.4304542156169935	0.4118133513991828	host	gene-SAURSH1000_RS13130	None	None	2.6522428559946154
gene-SAURSH1000_RS10110	0.6643804519552672	0.9568670925408302	1.0	0.7330328770311972	0.3934362873211781	0.20841135553078113	0.196837670904067	host	gene-SAURSH1000_RS10110	None	None	70.44773532982632
gene-SAURSH1000_RS02640	0.5887610237021578	1.0	0.8965007190275132	0.606095981364109	0.3824920771344267	0.21738780868063834	0.17043968772126541	host	folE2	None	None	39.61813638995831
gene-SAURSH1000_RS05365	0.7819616841347503	1.0	0.7617926813397864	0.5792116933562478	0.4408910038175897	0.22519345853135891	0.18440560498604575	host	rsmH	None	None	120.23561845725658
gene-CPT_phageK_gp149	2.7344694302652617e-05	0.0020118271509216848	0.004783921420740534	0.14138065467725544	0.543910085866502	0.9652703786993938	1.0	phage	gene-CPT_phageK_gp149	early	late	2266.066077233485
gene-SAURSH1000_RS09505	0.8658805247821635	0.8669338896823523	0.9083649827585065	1.0	0.81503978631172	0.9152521070867737	0.8643999903294809	host	gene-SAURSH1000_RS09505	None	None	27.509686263501937
gene-SAURSH1000_RS05620	0.6646366149263273	1.0	0.8733942581988686	0.6084805046535229	0.26962926363157425	0.1429251871913472	0.12870733826043987	host	fabD	None	None	165.17093132162455
gene-SAURSH1000_RS07615	0.483363351495155	1.0	0.9848306042959962	0.68302419421447	0.34544833367761146	0.21424101371306803	0.18722079088079033	host	gene-SAURSH1000_RS07615	None	None	55.209808064597624
gene-SAURSH1000_RS06065	0.3737205608778873	0.813377227321859	0.7049110011824451	1.0	0.40700619275869976	0.30402052508516914	0.21647332558304044	host	gene-SAURSH1000_RS06065	None	None	5.057429189327747
gene-SAURSH1000_RS08190	0.6583706650333047	1.0	0.7355767650889469	0.6223388999510788	0.4050051828653169	0.22863693688417436	0.19951110127463365	host	gene-SAURSH1000_RS08190	None	None	4.413936641341251
gene-SAURSH1000_RS12205	0.6470122420952006	0.9335827750608177	1.0	0.7467819502665591	0.6859298946929523	0.3931495573847316	0.3474960126604386	host	gene-SAURSH1000_RS12205	None	None	3.1682036606807826
gene-SAURSH1000_RS04955	0.31346826399764727	0.6790669086416576	0.8052777707991229	1.0	0.4642886486928398	0.25334373453400977	0.26243026504068134	host	gene-SAURSH1000_RS04955	None	None	9.127497152072767
gene-SAURSH1000_RS10410	0.6792236731904497	1.0	0.7738626247922012	0.6058114953834861	0.2643988191813804	0.14602458423461145	0.11253948101205007	host	gene-SAURSH1000_RS10410	None	None	11.537758178366683
gene-SAURSH1000_RS12415	0.8285612701272098	0.9320254906118263	0.9633250038702703	1.0	0.6226071692732708	0.7874227375564836	0.8046706263566488	host	cwrA	None	None	1.8433522108578384
gene-SAURSH1000_RS08830	0.5555113677432119	1.0	0.8383224167067688	0.7371016354178932	0.4477671253343167	0.16924604876802077	0.19981855163919726	host	gene-SAURSH1000_RS08830	None	None	4.659211695273283
gene-CPT_phageK_gp112	6.411577646965616e-05	0.0013788352781654166	0.00953869812909067	0.29909687936535884	1.0	0.9480322750586759	0.4731389134296923	phage	gene-CPT_phageK_gp112	early	early	951.4703367918997
gene-SAURSH1000_RS04730	0.6430004860143491	1.0	0.9442361237537882	0.5469971654156284	0.2942778334209572	0.18147947299785155	0.14481723767153717	host	gene-SAURSH1000_RS04730	None	None	30.54214802230006
gene-SAURSH1000_RS12075	0.5514044706834972	1.0	0.5908827029591341	0.5426091690810247	0.4356871681827326	0.19042422584651492	0.18381640321081166	host	gene-SAURSH1000_RS12075	None	None	1.1174011934399801
gene-SAURSH1000_RS00190	0.5552617084613063	1.0	0.7963655968091713	0.5083428097314566	0.3657316307396279	0.21130948885931064	0.13190303898265662	host	gene-SAURSH1000_RS00190	None	None	2.81286634963721
gene-SAURSH1000_RS10565	0.9218471902116717	0.5718773167817219	1.0	0.512543279608743	0.5222675660712425	0.5039099222577227	0.47443811169910816	host	gene-SAURSH1000_RS10565	None	None	0.4629471397720069
gene-SAURSH1000_RS04055	0.5478896816875626	1.0	0.9401818808206941	0.827308599867224	0.5146392959919942	0.2958483629791906	0.21432632502595436	host	gene-SAURSH1000_RS04055	None	None	15.133472624931867
gene-SAURSH1000_RS01185	0.8334059224841578	0.9413677670097532	0.8901569915154327	0.8610377774540775	0.8947979039206139	1.0	0.8879736150356734	host	esxA	None	None	7.067292260461206
gene-SAURSH1000_RS10330	0.9525630334683094	0.8834286223596521	1.0	0.7833681531530907	0.38002590303451633	0.5364129564621863	0.3346773700871036	host	gene-SAURSH1000_RS10330	None	None	273.751748473333
gene-SAURSH1000_RS02790	0.5996124053425099	0.9376873373138906	1.0	0.977745336542779	0.9402989920980818	0.35724706276970625	0.2882202955836216	host	gene-SAURSH1000_RS02790	None	None	3.2275055203694647
gene-SAURSH1000_RS06525	1.0	0.9855234288281548	0.8142416849721581	0.700595219871599	0.6295585521326075	0.349751097169864	0.15506629325783247	host	gene-SAURSH1000_RS06525	None	None	3.841501666420553
gene-SAURSH1000_RS06655	0.6612872206722106	1.0	0.7792288933075326	0.6750798915430111	0.608497292933861	0.34360991872824886	0.23274927477744878	host	msrB	None	None	36.599972751529926
gene-SAURSH1000_RS00970	1.0	0.7479390786299742	0.6497588616051506	0.9724319670456472	0.9458423136811567	0.8418083299139392	0.8708863617256826	host	gene-SAURSH1000_RS00970	None	None	0.20715784575131532
gene-SAURSH1000_RS00515	0.7176634636558288	0.36522256590296104	0.19062443854058483	0.16360140643180898	0.48110160513227196	0.9267031288492208	1.0	host	adhE	None	None	17.31471618226135
gene-SAURSH1000_RS01530	0.7211537027257345	1.0	0.7532548142100922	0.7545276279496088	0.6909221064805542	0.3766397093161355	0.2747528871294819	host	efeO	None	None	0.344979796413735
gene-SAURSH1000_RS05410	0.7712689113608153	1.0	0.8926678715907965	0.5850785556669672	0.35031347173170424	0.1646126064374623	0.15016970349755057	host	gene-SAURSH1000_RS05410	None	None	86.6385952548035
gene-SAURSH1000_RS08410	0.5955983936383551	1.0	0.8913859011845976	0.8129417377409888	0.47076670589295705	0.2064658739374242	0.1717433389716837	host	ribD	None	None	8.432479605263778
gene-SAURSH1000_RS07340	0.4938405925083858	1.0	0.8581759642770643	0.8134035392129274	0.3962241251560956	0.19841485842700274	0.16060236945019735	host	gene-SAURSH1000_RS07340	None	None	10.69205819677664
gene-SAURSH1000_RS00195	0.6204104595915668	1.0	0.7797591243458932	0.6582722028186924	0.3550153795756197	0.23106892821687605	0.16260860779845837	host	gene-SAURSH1000_RS00195	None	None	5.796398335346151
gene-SAURSH1000_RS13270	0.5738682908322386	0.8875269241659293	0.8133297187954026	1.0	0.5761530318963604	0.4468366514348595	0.34259294535455115	host	gene-SAURSH1000_RS13270	None	None	6.1230839570286735
gene-SAURSH1000_RS04240	0.8183054900700252	1.0	0.9465297435415719	0.6800244170957269	0.7093091634181611	0.5049215600470047	0.3861584649128727	host	gene-SAURSH1000_RS04240	None	None	41.89566068905588
