ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-SAM1_00001	99	654	hypothetical protein	unknown function	654	108	0.556	1.162e-30	654	115.744873	1.884821849119343e-33	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00002	61	3204	hypothetical protein	unknown function	3204	93	0.729	2.8910000000000003e-26	3204	112.018875	2.97760736957699e-32	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00003	96	654	hypothetical protein	unknown function	654	102	0.538	1.835e-28	654	116.802933	8.819305541112831e-34	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00004	95	654	hypothetical protein	unknown function	654	76	0.426	1.561e-19	654	100.855042	8.259915285524542e-29	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00005	97	654	hypothetical protein	unknown function	654	106	0.557	5.6520000000000005e-30	654	125.711823	1.4730160745027935e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00006	85	1099	hypothetical protein	unknown function	1099	94	0.593	2.8420000000000003e-26	1099	124.351295	3.235810829516886e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00007	79	1099	hypothetical protein	unknown function	1099	92	0.595	1.388e-25	1099	123.552391	5.74510554564516e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00008	115	3522	hypothetical protein	unknown function	3522	241	0.984	8.729e-77	3522	257.737335	1.8728692955270026e-77	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00009	112	3077	hypothetical protein	unknown function	3077	201	0.857	5.475000000000001e-63	3077	210.499969	9.446103717362672e-63	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SAM1_00010	102	2601	hypothetical protein	unknown function	2601	152	0.725	5.432000000000001e-46	2601	180.306152	1.5556809385287205e-53	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
