ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-FDH45_gp001	604	675	terminase large subunit	head and packaging	675	754	0.645	3.5859999999999996e-245	675	797.539734	1.107851234131959e-239	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp002	323	559	HNH endonuclease	DNA, RNA and nucleotide metabolism	559	179	0.405	1.903e-52	559	280.134247	8.42407505342911e-83	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp003	267	1917	virion structural protein	head and packaging	1917	281	0.551	1.163e-87	1917	314.144135	2.066445480588295e-93	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp004	53	38741	hypothetical protein	unknown function	38741	101	0.894	1.696e-29	38741	128.694077	1.189426390717265e-37	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp005	163	1116	hypothetical protein	unknown function	1116	154	0.494	8.142e-45	1116	145.728531	3.329047843393112e-42	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp006	128	3937	hypothetical protein	unknown function	3937	168	0.726	1.858e-51	3937	163.026428	6.071471192081274e-48	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp007	123	1108	portal protein	head and packaging	1108	140	0.67	8.648e-42	1108	147.58197	2.703150138483942e-43	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp008	563	15361	portal protein	head and packaging	15361	417	0.708	2.631e-134	15361	550.755066	1.9706342749211811e-165	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp009	256	1028	head maturation protease	head and packaging	1028	379	0.73	7.070000000000001e-122	1028	529.172791	5.008232819347766e-158	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp010	337	1133	hypothetical protein	unknown function	1133	143	0.289	9.354e-40	1133	220.378662	8.561748640747843e-65	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp011	463	752	major head protein	head and packaging	752	492	0.542	1.019e-156	752	702.043518	7.741044610431677e-211	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp012	88	1205	hypothetical protein	unknown function	1205	72	0.499	1.233e-18	1205	86.723671	2.3670835525887388e-24	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp013	302	772	tail fiber protein	tail	772	370	0.731	9.467e-119	772	463.851959	5.150929792794142e-139	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp014	291	1004	virion structural protein	head and packaging	1004	288	0.627	8.812e-91	1004	357.003204	1.097483404867778e-106	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp015	211	1127	hypothetical protein	unknown function	1127	248	0.621	2.655e-77	1127	269.85379	2.9329229160375135e-80	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp016	285	1000	hypothetical protein	unknown function	1000	269	0.51	2.146e-83	1000	378.197571	5.176981836613379e-113	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp017	73	1151	hypothetical protein	unknown function	1151	92	0.646	7.569000000000001e-26	1151	99.779449	1.406913031636509e-28	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp018	594	279	tail sheath	tail	279	231	0.278	2.2829999999999997e-67	279	465.717438	3.460119557190571e-139	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp019	122	985	virion structural protein	head and packaging	985	201	0.795	2.154e-62	985	221.80217	4.686154921099776e-66	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp020	314	7140	intron encoded nuclease	DNA, RNA and nucleotide metabolism	7140	213	0.611	1.349e-63	7140	391.665649	7.174043563738266e-117	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp021	52	8192	hypothetical protein	unknown function	8192	104	0.932	1.747e-30	8192	123.349159	6.074750827300396e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp022	44	2701	hypothetical protein	unknown function	2701	53	0.587	6.464e-13	2701	81.650414	5.721274047547396e-23	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp023	153	1905	hypothetical protein	unknown function	1905	141	0.499	1.349e-41	1905	167.847824	3.4515719838703304e-49	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp024	65	34240	hypothetical protein	unknown function	34240	119	0.864	1.9860000000000002e-35	34240	140.910492	2.1904884148096342e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp025	97	2754	virion structural protein	head and packaging	2754	149	0.724	6.197e-45	2754	140.502975	4.253090727103445e-41	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp026	136	1038	tail assembly chaperone	tail	1038	173	0.658	1.836e-52	1038	186.559341	4.251520235354374e-55	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp027	169	1316	RNA polymerase beta subunit	DNA, RNA and nucleotide metabolism	1316	138	0.427	1.5129999999999998e-39	1316	166.599396	1.2243584327723586e-48	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp028	1401	1047	tail associated lysin	tail	1047	786	0.434	2.4949999999999996e-249	1047	1190.520874	0.0	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp029	265	8949	hypothetical protein	unknown function	8949	258	0.505	9.795e-80	8949	367.555084	3.871702907276724e-109	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp030	868	1015	tail protein with lysin activity	tail	1015	591	0.453	1.362e-186	1015	809.597046	7.745847598725888e-243	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp031	302	2677	tail protein with lysin activity	tail	2677	396	0.674	5.083999999999999e-127	2677	371.269257	1.0028261930874943e-110	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp032	714	24418	glycerophosphoryl diester phosphodiesterase	other	24418	1338	0.898	0.0	24418	1506.487061	0.0	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp033	222	4175	poly-gamma-glutamate hydrolase	other	4175	222	0.541	2.4849999999999998e-67	4175	183.412552	1.0946112611507272e-53	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp034	265	1011	virion structural protein	head and packaging	1011	252	0.508	9.896e-78	1011	338.236267	1.643546148880158e-100	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp035	174	1073	hypothetical protein	unknown function	1073	214	0.623	2.024e-66	1073	221.261215	1.173835231324926e-65	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp036	234	975	baseplate protein	tail	975	295	0.637	3.818e-93	975	323.61438	1.0551636276618064e-96	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp037	348	6	baseplate wedge subunit	tail	6	84	0.251	3.106e-19	6	215.126297	3.4132371355506305e-63	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp038	885	2386	virion structural protein	head and packaging	2386	1005	0.536	1.266e-319	2386	1186.569824	0.0	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp039	173	1394	virion structural protein	head and packaging	1394	162	0.499	1.304e-48	1394	249.341995	3.979647668156107e-74	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp040	1151	877	hypothetical protein	unknown function	877	1482	0.653	0.0	877	1683.50293	0.0	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp041	50	1074	hypothetical protein	unknown function	1074	51	0.628	1.568e-11	1074	64.760536	1.0691067500062226e-17	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp042	642	2665	virion structural protein	head and packaging	2665	961	0.74	6.356e-316	2665	981.19342	5.189432268893701e-295	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp043	130	2671	tail fiber protein	tail	2671	148	0.581	2.263e-44	2671	150.780029	4.010946481462697e-44	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp044	456	2691	tail fiber protein	tail	2691	624	0.684	6.876999999999999e-203	2691	654.901001	1.3609256047482098e-196	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp045	580	9690	DNA helicase	DNA, RNA and nucleotide metabolism	9690	265	0.505	1.255e-81	16	461.953918	9.796527007205289e-138	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp046	537	1098	HTH DNA binding protein	DNA, RNA and nucleotide metabolism	1098	426	0.444	5.265e-133	1098	526.381226	1.7519778748710732e-157	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-FDH45_gp047	466	19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	19	147	0.252	1.151e-39	19	295.59726	1.9048877314058177e-87	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
