Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b3271	3.175502280895287	4.337272387152145	4.049874208757257	3.3542561677775575	3.3266610833437307	3.8451720588366864	0.7149647784273688	0.6553449871104197	0.2400672638257101	0.3445721951045012	0.24533669094631327	0.12782047660983645	0.1370216765795713	0.1799852788522719	host	yhdZ	None	None	1.6150986166924344
gene-b3825	90.16111857181986	90.1726075479784	87.04702070192388	97.3169607356994	100.90451122817748	79.66799906056382	12.550520728064072	11.114501756727723	4.927832329497641	6.35420768391634	6.044452021990983	3.084912034156565	4.671066628253332	2.3672550605643385	host	pldB	None	None	41.668445567334636
gene-b1101	1083.8704253809894	1251.8944960284105	1201.0681056586518	1017.6303490320257	1209.2207955651934	1042.4009657325048	211.38228350841396	238.01992830388704	82.29569420096146	92.43401435494745	97.15313493117344	46.19171853539553	69.81773420372005	50.8104466811808	host	ptsG	None	None	477.7676932349588
gene-b3842	47.50012823309772	56.636467651169596	52.846632132024396	74.7914623203146	88.12607676695326	74.18814674552591	20.489974403601586	15.210010832925867	6.121610027177069	7.8208727882716955	5.869551875567912	3.582801962743633	4.690105543807109	2.158719142062525	host	rfaH	None	None	27.88478919698086
gene-b4544	142.34317773984398	110.6878248747278	131.52515246533522	131.79920051043734	104.46892246970384	131.69503199258608	14.46888910996926	25.375412236725843	8.186069143743952	8.155900796625293	9.344925921738005	4.398998093914261	4.642832701959581	5.063692979138471	host	arnE	None	None	56.62177902594796
gene-b0375	2.0850717622982033	1.9925548828866106	2.500155480681634	2.4384920810551454	2.4368903472915617	2.588276057714893	0.8696446583755977	1.32229195278224	0.37543486245270735	0.49200933627902343	0.3189946397698831	0.08230973564496538	0.2543846257753833	0.13931552834238353	host	iprA	None	None	0.7463800127009856
gene-T4p032	0.00911506781332548	0.024777884554030394	1.0495702215930818	1.1300714110262033	0.9883573873666242	0.7870780994220725	562.5184405091939	429.75801379418465	1233.8847519442002	1226.1455782249593	1039.6097050998512	267.3200721120089	316.0755290910079	322.62292009162485	phage	dam	early	middle	518.1345608356681
gene-b3171	636.6460546343604	492.87395657176876	425.481005439638	858.304937804432	737.4844205016046	806.9901531581012	294.17904972285237	235.9737592663393	81.24562114330102	94.85580285233912	66.46207214389462	21.419059866191166	31.49129013539666	14.354410356257166	host	metY	None	None	266.95744273444893
gene-b0723	52.25487314063001	17.212146109049318	30.289836071153776	15.347088121477919	7.881180680806678	10.866755695246681	3.2705324396971	4.361562070312174	1.6744541233758174	1.572317831990715	1.4353797909794404	0.8946156817431288	0.802307157647178	0.8644793783923213	host	sdhA	None	None	18.95608998438742
gene-b3748	34.04217397768114	47.50392428713417	42.03656043841403	34.317914813214735	32.38262952395575	31.820443162349505	4.888453213678912	6.060839710624979	2.45840309931995	2.9871127675606877	2.5225566905305046	1.3995268067124906	1.9418444142932705	1.1531913937891993	host	rbsD	None	None	17.1268778525836
gene-b1159	0.00852488356641951	0.007724520364565829	0.01852098938605954	0.005904476646172036	0.008480394717026014	0.011324864739885936	0.006707931800864953	0.00701660100461008	0.010403737195598605	0.004544717201618122	0.007699104789061928	0.006842695848981934	0.006563135966420207	0.01489086839425271	host	mcrA	None	None	0.0014838460469251697
gene-b0697	1.4052952280280715	1.1601709341696806	1.2740162859968511	1.2473055629033583	1.3496368154484535	1.0555835125484898	0.13924605720741334	0.11709402379289267	0.16514980772281124	0.09434114272992933	0.103413744267722	0.06405885396543264	0.06144171503556488	0.07879296980502093	host	kdpB	None	None	0.5520271026092823
gene-b2551	1009.4431695187947	833.6137907986705	1201.8834504013028	591.104587083488	576.8721150011826	753.0718064183343	155.55061567466703	176.81065727009718	55.111682201191684	74.3883008220779	84.61555609021781	34.31821505362208	51.990996349035036	42.02053439692431	host	glyA	None	None	392.1068402563743
gene-b4312	10.010249100066995	10.352471367400359	13.550914134789494	14.348348258289285	14.790399060752266	13.01615722626353	2.068913055038915	2.9792976584052333	1.338200106741325	1.41428886050355	1.3097671102347441	0.3501690025006377	0.4992554672963432	0.6384552428938799	host	fimB	None	None	5.399863185852485
gene-b3117	0.43807568339194575	0.5010638876481701	0.42126832221746335	0.6715000258510196	0.9644521628181403	0.5437994141461593	0.14127310913942856	0.11230814092833467	0.11393668552997986	0.11868597831377264	0.08431686275051457	0.05188007580046303	0.038702613911071895	0.012544428526067434	host	tdcB	None	None	0.26105550189602467
gene-b0509	0.8007571519283202	0.6229707038044047	0.40417476496404336	0.7899101555517115	0.5712833819954248	0.6769408909705198	0.35004872776527346	0.36615641419961814	0.28626255723862104	0.20266646742778968	0.2848931540034451	0.08440103344102631	0.09340708866884734	0.04238561174336779	host	glxR	None	None	0.1539778768379371
gene-b0452	21.296228472290128	25.492155279501976	22.909624940722836	24.82756309284711	27.017355631898955	25.460742421723072	6.179197190414894	6.164487375987503	2.3077446597428515	2.82181015990922	2.4983192648269594	1.3852763561587051	1.9008396787483641	1.197184311250826	host	tesB	None	None	9.481270402327702
gene-b2601	133.8638348416923	113.44014234281923	157.19090532937898	73.1937118124782	89.72556918662359	103.41809380305484	10.66125234719096	12.419462395538044	4.253292559377076	6.600278788579685	6.169247378623623	3.703297661013444	6.005177488602692	4.7426373057796125	host	aroF	None	None	58.528262213032285
gene-b3689	45.10249492381113	42.49923406944421	49.02532603455421	38.10439810153647	40.60539381010242	32.85294259222324	4.334775178604139	3.6339583808731772	2.3568966365086625	3.021909195047088	2.7114544380440067	1.2849464286797374	2.0833223662639146	1.2239864275795125	host	yidR	None	None	19.79961777995486
