Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-Syncc8109_0251	208	70	65	11	4	11	40	8	host	gene-Syncc8109_0251
gene-Syncc8109_1252	489	140	108	33	5	47	14	12	host	gene-Syncc8109_1252
gene-Syncc8109_2400	582	176	56	26	7	31	8	10	host	gene-Syncc8109_2400
gene-Syncc8109_2323	48	18	22	2	1	3	2	2	host	gene-Syncc8109_2323
gene-Syncc8109_2658	62	22	18	6	0	2	3	1	host	gene-Syncc8109_2658
gene-BSV9_gp50	0	0	25629	6172	9107	99609	22868	30265	phage	gene-BSV9_gp50
gene-Syncc8109_2068	787	203	138	49	6	74	29	21	host	gene-Syncc8109_2068
gene-Syncc8109_1780	71	18	35	6	2	7	1	2	host	gene-Syncc8109_1780
gene-Syncc8109_1298	874	277	184	53	7	67	25	16	host	gene-Syncc8109_1298
gene-Syncc8109_2645	1311	377	290	103	12	90	33	24	host	gene-Syncc8109_2645
gene-Syncc8109_1652	3245	1039	616	242	19	267	69	39	host	trpS
gene-Syncc8109_0285	365	128	76	20	0	24	12	8	host	gene-Syncc8109_0285
gene-Syncc8109_0724	393	128	93	24	0	39	11	12	host	gene-Syncc8109_0724
gene-Syncc8109_0826	1393	467	238	66	12	103	31	28	host	purQ (purL
gene-Syncc8109_0275	593	177	109	45	9	57	19	20	host	gene-Syncc8109_0275
gene-Syncc8109_2431	1223	383	269	76	7	104	29	45	host	gene-Syncc8109_2431
gene-Syncc8109_0127	1195	378	299	88	12	117	43	41	host	ssb
gene-Syncc8109_0585	216	66	56	25	1	24	4	7	host	gene-Syncc8109_0585
gene-Syncc8109_0663	178	65	39	16	4	11	3	6	host	abrB
gene-Syncc8109_1242	1350	490	315	76	12	90	37	36	host	gene-Syncc8109_1242
gene-Syncc8109_1416	13	5	5	2	0	3	0	0	host	gene-Syncc8109_1416
gene-BSV9_gp180	0	0	26166	8110	5137	40246	8170	9102	phage	gene-BSV9_gp180
gene-Syncc8109_1418	184	65	52	13	0	12	6	6	host	gene-Syncc8109_1418
gene-Syncc8109_0469	18354	6559	5022	1141	204	1662	664	774	host	cpeC
gene-Syncc8109_2077	138	47	27	5	1	17	1	3	host	gene-Syncc8109_2077
gene-Syncc8109_1559	890	239	173	73	5	68	17	24	host	glmU
gene-Syncc8109_0744	2896	968	926	245	41	266	76	85	host	gene-Syncc8109_0744
gene-Syncc8109_1465	710	203	148	41	10	56	11	17	host	pqqL
gene-Syncc8109_0571	493	173	83	34	1	13	2	4	host	gene-Syncc8109_0571
gene-Syncc8109_1817	141	37	29	4	3	12	0	3	host	gene-Syncc8109_1817
gene-Syncc8109_0967	1656	555	282	67	12	102	29	41	host	bolA
gene-Syncc8109_0537	663	205	191	57	8	63	25	17	host	mtnB
gene-Syncc8109_1374	241	75	57	9	2	17	7	7	host	gene-Syncc8109_1374
gene-Syncc8109_2270	7394	2298	1534	601	61	697	146	127	host	atpD
gene-Syncc8109_2681	181	62	40	16	4	21	7	6	host	ureF
gene-Syncc8109_1737	139	36	51	10	2	8	4	8	host	gene-Syncc8109_1737
gene-Syncc8109_1490	3548	1039	643	238	17	252	67	77	host	secD
gene-Syncc8109_1758	98	33	28	5	2	4	3	1	host	gene-Syncc8109_1758
gene-BSV9_gp97	0	0	16904	4572	8765	81845	23586	27963	phage	gene-BSV9_gp97
gene-Syncc8109_1716	538	149	102	39	2	35	10	5	host	gene-Syncc8109_1716
gene-Syncc8109_1928	8	1	5	3	0	2	1	2	host	gene-Syncc8109_1928
gene-Syncc8109_0793	153	55	25	5	3	12	2	3	host	gene-Syncc8109_0793
gene-Syncc8109_1166	1983	644	151	39	2	48	18	21	host	gene-Syncc8109_1166
gene-Syncc8109_2642	356	106	94	40	3	28	5	8	host	hli5
gene-Syncc8109_1795	50	18	10	9	1	4	0	0	host	gene-Syncc8109_1795
gene-Syncc8109_1734	676	202	175	48	4	44	21	30	host	gene-Syncc8109_1734
gene-Syncc8109_1029	627	165	132	55	4	57	24	24	host	gene-Syncc8109_1029
gene-BSV9_gp197	0	0	66378	22029	40816	310229	472417	435507	phage	gene-BSV9_gp197
gene-Syncc8109_0926	322	103	84	16	4	17	5	3	host	gene-Syncc8109_0926
gene-Syncc8109_0260	2108	672	502	176	25	187	63	69	host	gene-Syncc8109_0260
gene-Syncc8109_0987	1046	284	221	78	7	86	36	30	host	psbP
gene-Syncc8109_2175	449	182	105	42	5	33	26	18	host	gene-Syncc8109_2175
gene-BSV9_gp51	0	0	19835	5133	9312	86962	27899	33041	phage	gene-BSV9_gp51
gene-Syncc8109_2197	1252	340	371	112	18	126	46	53	host	gene-Syncc8109_2197
gene-Syncc8109_2105	1013	338	204	73	9	94	35	34	host	raiA
gene-Syncc8109_0998	2967	888	463	154	20	184	62	42	host	lysA
gene-Syncc8109_1066	222	74	84	33	6	17	14	5	host	gene-Syncc8109_1066
gene-Syncc8109_0691	588	168	96	47	2	71	20	13	host	gmk
gene-Syncc8109_2104	406	138	101	29	4	33	10	5	host	lipB
gene-Syncc8109_0255	2941	896	775	272	26	302	79	66	host	leuC
gene-Syncc8109_0742	147	34	22	9	0	14	5	4	host	gene-Syncc8109_0742
gene-Syncc8109_0996	1231	377	189	78	4	80	28	29	host	uppS
gene-Syncc8109_2359	665	211	175	54	9	51	25	15	host	gene-Syncc8109_2359
gene-Syncc8109_1223	92	31	42	3	0	5	3	0	host	gene-Syncc8109_1223
gene-Syncc8109_2329	104	40	44	12	0	10	6	3	host	gene-Syncc8109_2329
gene-Syncc8109_0463	1130	368	533	101	21	135	56	61	host	gene-Syncc8109_0463
gene-Syncc8109_1748	34	17	21	6	1	4	1	2	host	gene-Syncc8109_1748
gene-Syncc8109_2042	2035	653	580	190	23	164	82	63	host	gene-Syncc8109_2042
gene-Syncc8109_0906	58	13	8	1	0	3	1	2	host	gene-Syncc8109_0906
gene-Syncc8109_2315	260	75	83	20	2	25	6	5	host	gene-Syncc8109_2315
gene-Syncc8109_2460	3485	1061	674	216	18	259	64	57	host	crtQ
gene-Syncc8109_1231	203	55	23	11	1	12	1	4	host	gene-Syncc8109_1231
gene-Syncc8109_2184	683	200	121	50	2	41	13	18	host	gene-Syncc8109_2184
gene-BSV9_gp71	0	0	107543	35286	10984	88871	17130	17325	phage	gene-BSV9_gp71
gene-Syncc8109_0852	359	131	47	20	2	23	3	3	host	gene-Syncc8109_0852
gene-Syncc8109_2519	1030	306	211	73	8	73	21	19	host	ndhE
gene-Syncc8109_1214	152	64	43	8	0	21	3	2	host	gene-Syncc8109_1214
gene-Syncc8109_2360	844	254	167	40	4	53	21	2570	host	def
gene-BSV9_gp206	0	0	191641	55000	76214	711543	573789	654382	phage	gene-BSV9_gp206
gene-Syncc8109_1789	244	97	97	31	3	22	6	13	host	gene-Syncc8109_1789
gene-Syncc8109_0860	824	288	241	74	12	70	30	31	host	mdlB
gene-Syncc8109_0006	3472	1162	1021	251	32	264	89	106	host	gene-Syncc8109_0006
gene-Syncc8109_0830	482	172	80	25	2	24	10	11	host	gene-Syncc8109_0830
gene-Syncc8109_1495	741	197	165	39	3	43	10	6	host	ispE
gene-Syncc8109_1707	1552	441	361	110	14	120	33	28	host	gshR
gene-Syncc8109_1871	696	198	151	43	6	47	18	23	host	codA
gene-Syncc8109_1820	386	128	125	31	3	63	8	23	host	gene-Syncc8109_1820
gene-Syncc8109_0173	411	114	94	29	2	31	14	11	host	gene-Syncc8109_0173
gene-Syncc8109_2553	408	118	97	28	2	30	15	15	host	gene-Syncc8109_2553
gene-Syncc8109_1640	302	74	56	30	3	26	6	13	host	gene-Syncc8109_1640
gene-Syncc8109_1371	287	78	52	18	4	20	9	17	host	gene-Syncc8109_1371
gene-Syncc8109_0264	1012	340	279	81	4	105	25	21	host	pth
gene-Syncc8109_1449	887	323	204	64	7	70	26	29	host	gene-Syncc8109_1449
gene-Syncc8109_0653	1097	406	246	72	12	66	22	16	host	gene-Syncc8109_0653
gene-BSV9_gp113	0	0	528	152	1102	11934	32649	40139	phage	gene-BSV9_gp113
gene-Syncc8109_0050	3401	951	558	214	12	299	70	57	host	DHSS
gene-Syncc8109_2509	4780	1433	862	330	30	342	122	91	host	ndhF2
gene-BSV9_gp174	0	0	17277	4859	4996	52297	13968	17326	phage	gene-BSV9_gp174
gene-Syncc8109_1692	564	166	144	59	4	61	20	20	host	gene-Syncc8109_1692
gene-Syncc8109_2257	1012	281	183	57	1	68	25	17	host	pepP
gene-Syncc8109_2157	26650	8706	3895	1387	128	1709	355	275	host	rpoB
gene-BSV9_gp224	0	0	23499	6120	10417	98340	70313	80407	phage	gene-BSV9_gp224
gene-Syncc8109_2293	501	165	123	42	6	34	9	9	host	gene-Syncc8109_2293
gene-Syncc8109_0012	2061	584	332	107	7	133	38	31	host	ftsY
gene-Syncc8109_0220	1030	250	136	55	9	79	10	23	host	gene-Syncc8109_0220
