Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-SynWH7803_1494	120	56	14	10	1	9	5	5	host	gene-SynWH7803_1494
gene-SynWH7803_0867	389	200	30	43	7	20	7	8	host	gene-SynWH7803_0867
gene-SynWH7803_1979	5594	3457	850	762	129	375	258	132	host	petF
gene-SynWH7803_2423	55	28	11	7	3	4	2	1	host	gene-SynWH7803_2423
gene-SynWH7803_0927	110	57	15	13	1	16	2	3	host	gene-SynWH7803_0927
gene-SynWH7803_1701	111	64	19	19	2	7	4	2	host	gene-SynWH7803_1701
gene-SynWH7803_2111	33	19	6	8	0	2	2	0	host	gene-SynWH7803_2111
gene-SynWH7803_1276	977	600	124	109	16	76	33	16	host	ilvE
gene-SynWH7803_0417	1772	861	285	365	52	137	77	54	host	rplO
gene-SynWH7803_0269	701	375	60	100	12	34	28	25	host	hisB
gene-SynWH7803_0616	298	128	40	27	8	22	10	4	host	gene-SynWH7803_0616
gene-SynWH7803_0566	258	112	28	22	6	22	7	4	host	gene-SynWH7803_0566
gene-SynWH7803_0356	322	109	30	36	9	23	11	6	host	kdgA
gene-SynWH7803_0748	537	257	94	68	18	54	20	13	host	clpB
gene-SynWH7803_1172	13	7	6	2	0	2	0	0	host	gene-SynWH7803_1172
gene-SynWH7803_1342	182	110	24	20	1	13	8	5	host	gene-SynWH7803_1342
gene-SynWH7803_0824	396	217	43	50	10	30	17	16	host	gene-SynWH7803_0824
gene-SynWH7803_0545	146	66	23	20	3	14	3	2	host	gene-SynWH7803_0545
gene-SynWH7803_0654	3038	1509	406	304	66	314	151	66	host	gene-SynWH7803_0654
gene-BSV9_gp85	75	1	51729	71170	10636	25262	2930	3167	phage	gene-BSV9_gp85
gene-SynWH7803_0070	808	370	99	93	17	65	43	20	host	clpP
gene-SynWH7803_1242	295	194	53	30	6	18	13	4	host	gene-SynWH7803_1242_gene_petF
gene-SynWH7803_1812	101	51	22	19	2	8	2	1	host	gene-SynWH7803_1812
gene-SynWH7803_1606	730	360	91	86	18	45	32	15	host	thrA
gene-SynWH7803_1188	281	159	35	43	5	12	7	2	host	gene-SynWH7803_1188
gene-SynWH7803_2007	142	68	14	12	4	8	2	3	host	gene-SynWH7803_2007
gene-SynWH7803_0916	139	78	18	25	1	7	5	2	host	uraA
gene-SynWH7803_1766	226	95	23	28	5	13	6	4	host	cobD/cbiB
gene-SynWH7803_2408	98	48	14	7	4	5	6	1	host	gene-SynWH7803_2408
gene-SynWH7803_1931	118	55	20	23	8	7	9	4	host	gene-SynWH7803_1931
gene-SynWH7803_0538	157	66	26	529	7	15	6	5	host	gene-SynWH7803_0538
gene-SynWH7803_1534	89	84	18	11	8	8	4	4	host	gene-SynWH7803_1534
gene-SynWH7803_2430	104	61	11	11	0	5	4	3	host	gene-SynWH7803_2430
gene-SynWH7803_0129	3245	1391	442	254	61	337	81	43	host	gene-SynWH7803_0129
gene-SynWH7803_1618	409	186	43	42	9	37	10	3	host	cysS
gene-SynWH7803_2250	448	238	33	51	11	25	13	12	host	fabH
gene-SynWH7803_0261	123	46	12	14	4	14	7	4	host	gene-SynWH7803_0261
gene-BSV9_gp126	0	0	786	1008	4012	7758	15055	18027	phage	17
gene-SynWH7803_2110	41	26	27	38	6	18	5	2	host	gene-SynWH7803_2110
gene-BSV9_gp147	0	0	4072	7086	22853	35753	6767	8538	phage	gene-BSV9_gp147
gene-SynWH7803_0017	114	68	17	37	2	15	6	5	host	gene-SynWH7803_0017
gene-SynWH7803_2225	520	276	57	48	8	36	15	6	host	gene-SynWH7803_2225
gene-SynWH7803_0256	181	89	29	24	4	24	7	4	host	gene-SynWH7803_0256
gene-SynWH7803_0291	1642	744	200	209	52	94	48	60	host	gene-SynWH7803_0291
gene-SynWH7803_0423	2041	1400	413	448	83	223	133	82	host	rplX
gene-SynWH7803_0973	784	393	61	66	8	40	23	7	host	gene-SynWH7803_0973
gene-SynWH7803_1698	16	7	5	6	0	3	0	0	host	gene-SynWH7803_1698
gene-SynWH7803_2363	54	41	12	14	5	5	3	1	host	gene-SynWH7803_2363
gene-SynWH7803_2446	575	298	58	73	9	35	14	8	host	gene-SynWH7803_2446
gene-SynWH7803_0174	56	10	3	15	2	1	2	2	host	gene-SynWH7803_0174
gene-SynWH7803_1187	44	42	7	11	6	3	3	2	host	chrA
gene-SynWH7803_1359	197	129	29	30	3	23	8	1	host	gene-SynWH7803_1359
gene-SynWH7803_1738	554	352	62	78	13	30	25	14	host	trmU
gene-SynWH7803_1889	594	307	72	64	12	32	15	11	host	gene-SynWH7803_1889
gene-BSV9_gp196	0	0	25708	53109	145251	275204	200426	300650	phage	gene-BSV9_gp196
gene-BSV9_gp65	56	2	54493	72758	35627	64943	7395	7563	phage	gene-BSV9_gp65
gene-SynWH7803_0304	784	444	106	97	14	57	41	24	host	gene-SynWH7803_0304
gene-SynWH7803_0954	63	32	7	7	3	1	1	1	host	gene-SynWH7803_0954
gene-SynWH7803_2490	163	131	44	40	3	12	6	3	host	gene-SynWH7803_2490
gene-SynWH7803_0894	161	90	23	20	4	13	3	3	host	gene-SynWH7803_0894
gene-SynWH7803_2141	875	531	107	76	15	55	23	18	host	def
gene-SynWH7803_0262	184	112	34	33	4	24	13	5	host	phr
gene-SynWH7803_1815	327	173	33	37	5	16	8	5	host	gene-SynWH7803_1815
gene-SynWH7803_1331	6243	2419	489	366	67	383	89	54	host	gene-SynWH7803_1331
gene-SynWH7803_0194	223	82	38	17	1	16	7	6	host	gene-SynWH7803_0194
gene-SynWH7803_0885	44	33	7	8	1	1	2	1	host	gene-SynWH7803_0885
gene-SynWH7803_1362	1592	950	245	218	34	101	84	31	host	secD
