hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-NWMN_RS00235	NC_009641.1	42	1050	Mokosh_type_I__MkoA_D	4.2e-64	214.9	0.676	0.769	228	1034
gene-NWMN_RS00765	NC_009641.1	142	929	RM__Type_I_REases_FAM_2.einsi_trimmed	3.6e-27	92.4	0.779	0.801	119	862
gene-NWMN_RS00765	NC_009641.1	142	929	RM__Type_I_REases_FAM_0.einsi_trimmed	2.3e-193	642.5	0.927	0.947	1	880
gene-NWMN_RS00770	NC_009641.1	143	280	Rst_gop_beta_cll__cll	2.5e-22	77.1	0.732	0.704	61	257
gene-NWMN_RS01535	NC_009641.1	287	285	AbiAlpha__AbiAlpha	1.8999999999999998e-37	126.4	0.995	0.782	61	283
gene-NWMN_RS01815	NC_009641.1	343	266	DarTG__DarG	1.7000000000000001e-65	218.4	0.756	0.695	81	265
gene-NWMN_RS02035	NC_009641.1	386	312	Abi2__Abi_2	3.5e-23	80.2	0.989	0.603	29	216
gene-NWMN_RS02165	NC_009641.1	409	234	FS_Sma__Sma	6.9e-158	520.5	1.0	1.0	1	234
gene-NWMN_RS02255	NC_009641.1	426	518	RM_Type_II__Type_II_MTases_FAM_28	5.5e-16	55.5	0.466	0.494	198	453
gene-NWMN_RS02255	NC_009641.1	426	518	RM_Type_II__Type_II_MTases_FAM_14	1e-18	64.4	0.449	0.475	196	441
gene-NWMN_RS02255	NC_009641.1	426	518	RM_Type_II__Type_II_MTases_FAM_13	2.6e-23	79.7	0.439	0.486	172	423
gene-NWMN_RS02255	NC_009641.1	426	518	RM_Type_II__Type_II_MTases_FAM_6	7.7e-24	81.5	0.465	0.488	194	446
gene-NWMN_RS02255	NC_009641.1	426	518	RM_Type_II__Type_II_MTases_FAM_33	1.3e-40	137.0	0.501	0.498	154	411
gene-NWMN_RS02255	NC_009641.1	426	518	RM__Type_I_MTases_FAM_3	9.7e-50	166.8	0.686	0.851	9	449
gene-NWMN_RS02255	NC_009641.1	426	518	RM__Type_I_MTases_FAM_1	1.1e-56	189.7	0.961	0.936	25	509
gene-NWMN_RS02255	NC_009641.1	426	518	PrrC__EcoprrI	1.1e-157	523.4	0.956	0.988	2	513
gene-NWMN_RS02255	NC_009641.1	426	518	RM__Type_I_MTases_FAM_0	1.1999999999999999e-181	602.4	0.992	0.981	7	514
gene-NWMN_RS02260	NC_009641.1	427	403	RM__Type_I_S_02	1.1e-18	64.9	0.413	0.462	217	402
gene-NWMN_RS02260	NC_009641.1	427	403	RM__Type_I_S_04	3.8e-32	109.4	0.733	0.953	19	402
gene-NWMN_RS02260	NC_009641.1	427	403	RM__Type_I_S_51	1.1e-32	110.4	0.45	0.548	8	228
gene-NWMN_RS02595	NC_009641.1	489	257	Gao_Qat__QatD	2.5e-12	44.0	0.953	0.981	2	253
gene-NWMN_RS02645	NC_009641.1	499	321	narp1_adps	2.4e-64	214.7	0.895	0.872	37	316
gene-NWMN_RS02705	NC_009641.1	510	697	Gao_Iet__IetA	1.5000000000000001e-30	103.8	0.563	0.324	174	399
gene-NWMN_RS02845	NC_009641.1	525	818	Dodola__DolB	7.300000000000001e-26	88.4	0.659	0.328	395	662
gene-NWMN_RS03280	NC_009641.1	610	178	gcu233__gcu233	3e-59	197.0	0.971	0.989	2	177
gene-NWMN_RS03845	NC_009641.1	719	139	Dpd__QueD	5.4e-19	66.1	0.95	0.849	17	134
gene-NWMN_RS03850	NC_009641.1	720	222	Dpd__QueC	3.2e-42	141.7	0.927	0.919	7	210
gene-NWMN_RS03900	NC_009641.1	729	593	PsyrTA__PsyrT	1e-112	374.8	0.515	0.583	3	348
gene-NWMN_RS04070	NC_009641.1	762	224	ShosTA__ShosT	3e-08	31.0	0.603	0.701	50	206
gene-NWMN_RS04450	NC_009641.1	833	416	Dnd__DndA	1.4999999999999999e-44	149.8	0.867	0.825	31	373
gene-NWMN_RS04725	NC_009641.1	886	1217	Gabija__GajB_2	2.1999999999999998e-66	222.0	0.749	0.74	11	911
gene-NWMN_RS04760	NC_009641.1	893	869	Dodola__DolB	1.6e-24	84.0	0.44	0.205	550	727
gene-NWMN_RS05640	NC_009641.1	1065	285	AbiAlpha__AbiAlpha	1.8999999999999998e-37	126.4	0.995	0.782	61	283
gene-NWMN_RS06455	NC_009641.1	1221	1188	Retron_I_A__ATPase_TypeIA	5.4e-08	29.6	0.47	0.227	2	271
gene-NWMN_RS06455	NC_009641.1	1221	1188	Lamassu-Fam__LmuB_SMC_Mrr	1.6e-08	30.9	0.698	0.34	17	420
gene-NWMN_RS06455	NC_009641.1	1221	1188	Wadjet__JetC_I	7.7e-12	41.2	0.474	0.471	291	849
gene-NWMN_RS06455	NC_009641.1	1221	1188	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.2e-13	47.4	0.491	0.413	5	495
gene-NWMN_RS06455	NC_009641.1	1221	1188	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2e-17	60.8	0.789	0.408	7	491
gene-NWMN_RS06535	NC_009641.1	1236	290	PsyrTA__PsyrA	1.2e-24	84.4	0.523	0.724	69	278
gene-NWMN_RS06535	NC_009641.1	1236	290	ShosTA__ShosA	5.9999999999999995e-61	203.5	0.723	0.762	62	282
gene-NWMN_RS06620	NC_009641.1	1253	1436	DEDDh_I_II_III_IV_V_VI_1	1.2e-48	162.6	0.994	0.109	421	576
gene-NWMN_RS06865	NC_009641.1	1302	61	aca11	3.5000000000000004e-26	88.2	0.906	0.951	3	60
gene-NWMN_RS07105	NC_009641.1	1343	1009	Lamassu-Fam__LmuB_SMC_Mrr	3.9e-07	26.3	0.416	0.235	409	645
gene-NWMN_RS07105	NC_009641.1	1343	1009	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	5.4e-11	39.5	0.769	0.5	6	509
gene-NWMN_RS07105	NC_009641.1	1343	1009	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	3.9e-14	49.0	0.823	0.791	15	812
gene-NWMN_RS07695	NC_009641.1	1450	897	csf4_IV-A_1	7e-36	121.3	0.916	0.692	238	858
gene-NWMN_RS07695	NC_009641.1	1450	897	DEDDh_I_II_III_IV_V_VI_1	3.2e-42	141.7	0.988	0.173	8	162
gene-NWMN_RS07845	NC_009641.1	1478	459	PsyrTA__PsyrT	3.3000000000000003e-84	280.6	0.504	0.732	4	339
gene-NWMN_RS08045	NC_009641.1	1517	559	Retron_I_A__ATPase_TypeIA	1.6e-10	37.9	0.485	0.492	2	276
gene-NWMN_RS08260	NC_009641.1	1560	599	UG6__DnaG	1.4e-37	126.8	0.896	0.523	35	347
gene-NWMN_RS08445	NC_009641.1	1596	228	Detocs__dtcC	1.0000000000000001e-20	71.3	0.616	0.987	2	226
gene-NWMN_RS08545	NC_009641.1	1615	825	recD_IV-D_1	7.699999999999999e-81	269.6	0.845	0.776	121	760
