replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NC_009641.1	gene-NWMN_RS01535	AbiAlpha__AbiAlpha	287	defense-finder-models/DefenseFinder/AbiAlpha/AbiAlpha	NC_009641.1_AbiAlpha_2	1	1	1.0	1.0	1	AbiAlpha__AbiAlpha	mandatory	285	1.9e-37	126.4	0.995	0.782	61	283			AbiAlpha	AbiAlpha	Defense
NC_009641.1	gene-NWMN_RS02035	Abi2__Abi_2	386	defense-finder-models/DefenseFinder/Abi2/Abi2	NC_009641.1_Abi2_1	1	1	1.0	1.0	1	Abi2__Abi_2	mandatory	312	3.5e-23	80.2	0.989	0.603	29	216			Abi2	Abi2	Defense
NC_009641.1	gene-NWMN_RS02165	FS_Sma__Sma	409	defense-finder-models/DefenseFinder/FS_Sma/FS_Sma	NC_009641.1_FS_Sma_6	1	1	1.0	1.0	1	FS_Sma__Sma	mandatory	234	6.9000000000000005e-158	520.5	1.0	1.0	1	234			FS_Sma	FS_Sma	Defense
NC_009641.1	gene-NWMN_RS02255	RM__Type_I_MTases_FAM_0	426	defense-finder-models/RM/RM/RM_Type_I	NC_009641.1_RM_Type_I_10	1	1	0.667	2.0	1	RM__Type_I_MTases_FAM_0	mandatory	518	1.1999999999999999e-181	602.4	0.992	0.981	7	514		NC_009641.1_PrrC_8	RM	RM_Type_I	Defense
NC_009641.1	gene-NWMN_RS02260	RM__Type_I_S_51	427	defense-finder-models/RM/RM/RM_Type_I	NC_009641.1_RM_Type_I_10	1	1	0.667	2.0	1	RM__Type_I_S_01	mandatory	403	1.1e-32	110.4	0.45	0.548	8	228		NC_009641.1_PrrC_8	RM	RM_Type_I	Defense
NC_009641.1	gene-NWMN_RS03280	gcu233__gcu233	610	defense-finder-models/DefenseFinder/gcu233/gcu233	NC_009641.1_gcu233_7	1	1	1.0	1.0	1	gcu233__gcu233	mandatory	178	3e-59	197.0	0.971	0.989	2	177			gcu233	gcu233	Defense
NC_009641.1	gene-NWMN_RS05640	AbiAlpha__AbiAlpha	1065	defense-finder-models/DefenseFinder/AbiAlpha/AbiAlpha	NC_009641.1_AbiAlpha_3	1	1	1.0	1.0	1	AbiAlpha__AbiAlpha	mandatory	285	1.9e-37	126.4	0.995	0.782	61	283			AbiAlpha	AbiAlpha	Defense
NC_009641.1	gene-NWMN_RS06865	aca11	1302	defense-finder-models/ADF/Anti_CRISPR/Aca_alone	NC_009641.1_Aca_alone_12	1	1	0.077	1.0	1	aca11	mandatory	61	3.5e-26	88.2	0.906	0.951	3	60			Anti_CRISPR	Aca_alone	Antidefense
NC_009641.1	gene-NWMN_RS09545	RM__Type_I_S_51	1802	defense-finder-models/RM/RM/RM_Type_I	NC_009641.1_RM_Type_I_11	1	1	0.667	2.0	1	RM__Type_I_S_01	mandatory	399	2.9e-59	198.0	0.83	0.997	1	398		NC_009641.1_PrrC_9	RM	RM_Type_I	Defense
NC_009641.1	gene-NWMN_RS09550	RM__Type_I_MTases_FAM_0	1803	defense-finder-models/RM/RM/RM_Type_I	NC_009641.1_RM_Type_I_11	1	1	0.667	2.0	1	RM__Type_I_MTases_FAM_0	mandatory	518	1.3e-181	602.3	0.992	0.981	7	514		NC_009641.1_PrrC_9	RM	RM_Type_I	Defense
NC_009641.1	gene-NWMN_RS10355	AbiAlpha__AbiAlpha	1924	defense-finder-models/DefenseFinder/AbiAlpha/AbiAlpha	NC_009641.1_AbiAlpha_4	1	1	1.0	1.0	1	AbiAlpha__AbiAlpha	mandatory	285	1.9e-37	126.4	0.995	0.782	61	283			AbiAlpha	AbiAlpha	Defense
NC_009641.1	gene-NWMN_RS12235	Dodola__DolB	2271	defense-finder-models/DefenseFinder/Dodola/Dodola	NC_009641.1_Dodola_5	1	1	1.0	2.0	1	Dodola__DolB	mandatory	378	3.5e-153	507.4	0.995	0.987	1	373			Dodola	Dodola	Defense
NC_009641.1	gene-NWMN_RS12240	Dodola__DolA	2272	defense-finder-models/DefenseFinder/Dodola/Dodola	NC_009641.1_Dodola_5	1	1	1.0	2.0	1	Dodola__DolA	mandatory	255	4.7e-94	312.3	0.969	1.0	1	255			Dodola	Dodola	Defense
