hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-SERP0071	CP000029.1	69	301	Abi2__Abi_2	4e-27	92.8	0.983	0.555	36	202
gene-SERP0129	CP000029.1	125	256	Gao_Qat__QatD	2.6e-13	47.0	0.949	0.98	2	252
gene-SERP0138	CP000029.1	134	321	narp1_adps	2.9000000000000002e-65	217.5	0.882	0.885	33	316
gene-SERP0150	CP000029.1	146	700	Gao_Iet__IetA	1.2e-29	100.6	0.558	0.32	175	398
gene-SERP0165	CP000029.1	161	817	Dodola__DolB	7e-25	85.1	0.437	0.217	486	662
gene-SERP0209	CP000029.1	205	132	Veles__VlsC1	1.3e-16	58.2	0.959	0.977	2	130
gene-SERP0209	CP000029.1	205	132	Veles__VlsC2	2.7e-19	66.9	0.946	0.955	6	131
gene-SERP0371	CP000029.1	367	212	Dpd__QueE	2.5e-10	37.4	0.593	0.575	1	122
gene-SERP0372	CP000029.1	368	139	Dpd__QueD	2.3e-19	67.1	0.95	0.849	16	133
gene-SERP0373	CP000029.1	369	223	Dpd__QueC	2.2999999999999996e-41	138.7	0.927	0.915	8	211
gene-SERP0384	CP000029.1	378	592	PsyrTA__PsyrT	6.4e-111	368.7	0.515	0.584	2	347
gene-SERP0418	CP000029.1	411	224	ShosTA__ShosT	3.8e-06	24.0	0.498	0.531	88	206
gene-SERP0498	CP000029.1	490	413	Dnd__DndA	6.5e-44	147.6	0.867	0.831	28	370
gene-SERP0555	CP000029.1	546	1218	Gabija__GajB_2	9.700000000000001e-64	213.1	0.821	0.783	11	964
gene-SERP0564	CP000029.1	555	869	Dodola__DolB	3.0000000000000002e-25	86.3	0.443	0.206	549	727
gene-SERP0800	CP000029.1	783	1189	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.2e-05	20.7	0.428	0.302	5	363
gene-SERP0800	CP000029.1	783	1189	Retron_I_A__ATPase_TypeIA	2.1e-06	24.3	0.466	0.222	2	265
gene-SERP0800	CP000029.1	783	1189	Lamassu-Fam__LmuB_SMC_Mrr	7.4e-10	35.1	0.695	0.339	18	420
gene-SERP0800	CP000029.1	783	1189	Wadjet__JetC_I	4.7e-11	38.4	0.486	0.472	290	850
gene-SERP0800	CP000029.1	783	1189	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1e-14	51.7	0.786	0.412	7	496
gene-SERP0815	CP000029.1	797	290	PsyrTA__PsyrA	7.5e-25	84.9	0.636	0.893	20	278
gene-SERP0815	CP000029.1	797	290	ShosTA__ShosA	3.6e-60	200.8	0.898	0.921	14	280
gene-SERP0831	CP000029.1	813	1436	DEDDh_I_II_III_IV_V_VI_1	8.6e-49	162.9	0.994	0.109	421	576
gene-SERP0885	CP000029.1	865	490	DISARM__drmC	2.6e-16	57.1	0.596	0.304	315	463
gene-SERP0918	CP000029.1	897	1009	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.7e-14	50.0	0.805	0.81	18	834
gene-SERP0918	CP000029.1	897	1009	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.2e-14	51.5	0.766	0.496	10	509
gene-SERP1025	CP000029.1	1002	902	csf4_IV-A_1	4.6000000000000003e-35	118.5	0.919	0.691	237	859
gene-SERP1025	CP000029.1	1002	902	DEDDh_I_II_III_IV_V_VI_1	5.5e-44	147.3	0.988	0.172	8	162
gene-SERP1049	CP000029.1	1026	459	PsyrTA__PsyrT	4.1e-86	286.8	0.499	0.725	3	335
gene-SERP1080	CP000029.1	1057	558	Retron_I_A__ATPase_TypeIA	4.9e-09	32.9	0.485	0.493	2	276
gene-SERP1128	CP000029.1	1104	598	UG6__DnaG	4.3e-38	128.3	0.907	0.53	36	352
gene-SERP1166	CP000029.1	1142	228	Detocs__dtcC	8.599999999999999e-22	74.7	0.611	0.978	3	225
gene-SERP1183	CP000029.1	1159	810	recD_IV-D_1	9.700000000000001e-79	262.5	0.898	0.82	99	762
gene-SERP1186	CP000029.1	1162	380	Dnd__DndA	5.5e-115	381.5	0.995	0.979	1	372
gene-SERP1191	CP000029.1	1167	258	CBASS__AG_E1_ThiF	3.8e-35	118.6	0.623	0.597	6	159
gene-SERP1254	CP000029.1	1227	876	UG9__DNA_pol	1.1000000000000001e-30	104.2	0.777	0.485	432	856
gene-SERP1276	CP000029.1	1248	315	RM_Type_II__Type_II_MTases_FAM_29	1.4e-05	21.0	0.465	0.813	20	275
gene-SERP1276	CP000029.1	1248	315	RM_Type_II__Type_II_MTases_FAM_13	9e-10	34.9	0.424	0.74	65	297
gene-SERP1280	CP000029.1	1252	379	Dnd__DndA	2e-92	307.2	0.984	0.968	2	368
gene-SERP1419	CP000029.1	1388	154	Veles__VlsC1	4.1e-28	95.5	0.953	0.929	3	145
gene-SERP1419	CP000029.1	1388	154	Veles__VlsC2	1.9e-29	99.9	0.966	0.935	4	147
gene-SERP1432	CP000029.1	1401	184	DEDDh_I_II_III_IV_V_VI_1	2.4e-36	122.5	0.988	0.826	7	158
gene-SERP1443	CP000029.1	1412	729	Gabija__GajB_3	1.9e-14	50.8	0.663	0.38	24	300
gene-SERP1443	CP000029.1	1412	729	Gabija__GajB_1	7.4e-43	144.2	0.927	0.829	10	613
gene-SERP1443	CP000029.1	1412	729	UG35__UvrD	1.2e-102	341.6	0.535	0.598	7	442
gene-SERP1443	CP000029.1	1412	729	Gabija__GajB_2	5.4e-115	382.3	0.777	0.894	7	658
gene-SERP1523	CP000029.1	1488	335	RM_Type_II__Type_II_MTases_FAM_16	1.6e-16	57.5	0.453	0.487	26	188
