replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
CP001340.1	gene-CCNA_00579	CARD_NLR__Trypsine_Endonuclease_new	584	defense-finder-models/DefenseFinder/CARD_NLR/CARD_NLR_Endonuclease	CP001340.1_CARD_NLR_Endonuclease_1	1	1	0.75	2.0	1	CARD_NLR__Endonuclease	mandatory	599	1.3e-291	966.7	0.906	0.998	2	599			CARD_NLR	CARD_NLR_Endonuclease	Defense
CP001340.1	gene-CCNA_00580	CARD_NLR__NLR_new	585	defense-finder-models/DefenseFinder/CARD_NLR/CARD_NLR_Endonuclease	CP001340.1_CARD_NLR_Endonuclease_1	1	1	0.75	2.0	1	CARD_NLR__NLR_new	accessory	1027	1.0999999999999999e-200	667.6	0.974	0.918	20	962			CARD_NLR	CARD_NLR_Endonuclease	Defense
CP001340.1	gene-CCNA_03886	CARD_NLR__CARD_Protease_new	586	defense-finder-models/DefenseFinder/CARD_NLR/CARD_NLR_Endonuclease	CP001340.1_CARD_NLR_Endonuclease_1	1	1	0.75	2.0	1	CARD_NLR__CARD_Protease	accessory	592	6.1e-152	505.2	0.99	0.992	2	588			CARD_NLR	CARD_NLR_Endonuclease	Defense
CP001340.1	gene-CCNA_00656	RM__Type_I_MTases_FAM_3	661	defense-finder-models/RM/RM/RM_Type_I	CP001340.1_RM_Type_I_4	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	611	1.6e-235	781.1	0.716	0.83	2	508		CP001340.1_PrrC_3	RM	RM_Type_I	Defense
CP001340.1	gene-CCNA_00657	RM__Type_I_S_52	662	defense-finder-models/RM/RM/RM_Type_I	CP001340.1_RM_Type_I_4	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	450	2.5999999999999996e-90	301.7	0.697	0.971	3	439		CP001340.1_PrrC_3	RM	RM_Type_I	Defense
CP001340.1	gene-CCNA_00659	RM__Type_I_REases_FAM_1.einsi_trimmed	664	defense-finder-models/RM/RM/RM_Type_I	CP001340.1_RM_Type_I_4	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	964	8e-295	978.5	0.918	0.972	4	940		CP001340.1_PrrC_3	RM	RM_Type_I	Defense
CP001340.1	gene-CCNA_00869	RM_Type_IIG__Type_IIG_FAM_1.einsi_trimmed	881	defense-finder-models/RM/RM/RM_Type_IIG	CP001340.1_RM_Type_IIG_5	1	1	0.167	1.0	1	RM_Type_IIG__Type_IIG_FAM_1.einsi_trimmed	mandatory	985	4.3999999999999997e-296	982.4	0.98	0.996	3	983			RM	RM_Type_IIG	Defense
CP001340.1	gene-CCNA_02783	Pycsar__AG_cyclase	2790	defense-finder-models/DefenseFinder/Pycsar/Pycsar	CP001340.1_Pycsar_2	1	1	1.0	1.5	2	Pycsar__AG_cyclase	mandatory	508	1.6e-50	169.9	0.684	0.443	254	478			Pycsar	Pycsar	Defense
CP001340.1	gene-CCNA_02785	CBASS__Effector_TIR	2792	defense-finder-models/DefenseFinder/Pycsar/Pycsar	CP001340.1_Pycsar_2	1	1	1.0	1.5	2	CBASS__Effector_2TM_S_2TMBeta	accessory	304	1.6000000000000001e-87	291.4	0.871	0.984	1	299			Pycsar	Pycsar	Defense
CP001340.1	gene-CCNA_02786	Pycsar__AG_cyclase	2793	defense-finder-models/DefenseFinder/Pycsar/Pycsar	CP001340.1_Pycsar_2	1	1	1.0	1.5	2	Pycsar__AG_cyclase	mandatory	233	2.2e-67	225.2	0.798	0.97	7	232			Pycsar	Pycsar	Defense
CP001340.1	gene-CCNA_02787	CBASS__2TM_5	2794	defense-finder-models/DefenseFinder/Pycsar/Pycsar	CP001340.1_Pycsar_2	1	1	1.0	1.5	2	CBASS__Effector_2TM_S_2TMBeta	accessory	169	2.4999999999999997e-43	145.4	0.988	0.947	1	160			Pycsar	Pycsar	Defense
