hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-PA0021	NC_002516.2	21	362	PsyrTA__PsyrA	7.8e-29	99.1	0.495	0.55	86	284
gene-PA0021	NC_002516.2	21	362	ShosTA__ShosA	2.9999999999999998e-61	205.5	0.719	0.597	65	280
gene-PA0078	NC_002516.2	79	449	Zorya__ZorB	1e-05	23.3	0.4	0.22	345	443
gene-PA0090	NC_002516.2	91	902	Dodola__DolB	8.8e-27	92.5	0.416	0.187	589	757
gene-PA0391	NC_002516.2	392	655	Eleos__LeoBC	1.4e-13	49.0	0.622	0.678	40	483
gene-PA0459	NC_002516.2	461	850	Dodola__DolB	1.2e-26	92.0	0.448	0.213	490	670
gene-PA0489	NC_002516.2	491	241	ShosTA__ShosT	1.4e-06	26.5	0.43	0.407	140	237
gene-PA0577	NC_002516.2	579	664	UG6__DnaG	1.2e-33	114.9	0.826	0.437	34	323
gene-PA0715	NC_002516.2	716	318	RT_I_II_III_IV_V_VI_1	9.2e-12	42.8	0.62	0.569	68	248
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_10	2.4999999999999998e-33	114.0	0.757	0.833	38	302
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_5	3.9e-34	116.2	0.493	0.824	53	314
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_3	7.9e-36	122.1	0.702	0.758	32	272
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_6	2.5e-37	126.8	0.738	0.824	40	301
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_7	6.499999999999999e-41	138.8	0.669	0.833	39	303
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_1	4e-42	142.7	0.859	0.865	40	314
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_4	2.9e-51	172.8	0.849	0.862	40	313
gene-PA0715	NC_002516.2	716	318	Retron__RT_Tot_2	1.3e-140	466.3	0.997	0.997	1	317
gene-PA0729	NC_002516.2	729	115	PfiAT__PfiT	3.9000000000000003e-69	228.2	1.0	1.0	1	115
gene-PA0779	NC_002516.2	779	799	Dodola__DolB	3.5e-07	27.9	0.629	0.304	339	581
gene-PA0799	NC_002516.2	800	663	Zorya_TypeI__ZorD	3.3000000000000003e-84	281.9	0.442	0.67	190	633
gene-PA0961	NC_002516.2	962	204	Retron_V__CSD	1.7e-49	167.0	0.752	0.98	3	202
gene-PA0975	NC_002516.2	976	264	Dpd__QueE	5e-07	27.8	0.629	0.561	110	257
gene-PA0976	NC_002516.2	977	224	CBASS__QueC	1.3000000000000001e-20	72.7	0.947	0.924	2	208
gene-PA0976	NC_002516.2	977	224	Dpd__QueC	1.9999999999999998e-53	179.3	0.986	0.987	3	223
gene-PA1031	NC_002516.2	1029	453	DRT2__RmuC	4.1e-125	416.2	0.897	0.896	37	442
gene-PA1119	NC_002516.2	1120	168	Zorya__ZorB	6.7e-10	37.0	0.502	0.685	49	163
gene-PA1164	NC_002516.2	1163	270	CBASS__AG_E1_ThiF	1.6e-42	143.9	0.852	0.915	15	261
gene-PA1327	NC_002516.2	1326	656	CARD_NLR__Trypsin	4.7e-50	169.0	0.638	0.375	75	320
gene-PA1327	NC_002516.2	1326	656	CARD_NLR__Trypsin_new	8.900000000000001e-70	234.0	0.715	0.386	75	327
gene-PA1327	NC_002516.2	1326	656	CARD_NLR__Endonuclease_new	6.9e-91	302.9	0.883	0.425	351	629
gene-PA1371	NC_002516.2	1370	233	Rst_HelicaseDUF2290__DUF2290_Pers	5.7e-10	37.1	0.649	0.652	46	197
gene-PA1371	NC_002516.2	1370	233	Rst_HelicaseDUF2290__DUF2290	2.4e-14	51.6	0.687	0.618	48	191
gene-PA1372	NC_002516.2	1371	711	Rst_HelicaseDUF2290__Helicase	3.2e-134	446.9	0.938	0.945	21	692
gene-PA1405	NC_002516.2	1404	530	Gabija__GajB_2	1.4000000000000001e-42	144.4	0.699	0.957	9	515
gene-PA1467	NC_002516.2	1466	323	WYL_I_II_III_IV_V_VI_4	1.7e-33	114.4	0.994	0.526	142	311
gene-PA1467	NC_002516.2	1466	323	WYL_I_II_III_IV_V_VI_1	1.2e-85	286.0	0.984	0.969	3	315
gene-PA1527	NC_002516.2	1527	1162	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	2e-15	54.2	0.488	0.432	1	502
gene-PA1527	NC_002516.2	1527	1162	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	4.1e-15	54.2	0.668	0.394	674	1131
gene-PA1575	NC_002516.2	1575	183	DEDDh_I_II_III_IV_V_VI_1	1.3e-14	53.0	0.994	0.934	5	175
gene-PA1662	NC_002516.2	1664	877	Dodola__DolB	1.6e-24	85.0	0.416	0.193	570	738
gene-PA1674	NC_002516.2	1676	181	Dpd__FolE	6.2e-115	379.5	1.0	1.0	1	181
gene-PA1746	NC_002516.2	1748	168	DarTG__DarG	5.8e-32	109.7	0.731	0.976	1	164
gene-PA1777	NC_002516.2	1779	350	Zorya__ZorB	2.6e-08	31.8	0.411	0.343	225	344
gene-PA1803	NC_002516.2	1806	798	Dodola__DolB	5.1e-11	40.6	0.64	0.308	306	551
gene-PA1816	NC_002516.2	1819	246	DEDDh_I_II_III_IV_V_VI_1	6.1e-39	132.1	0.994	0.667	4	167
gene-PA1939	NC_002516.2	1942	665	Gabija__GajA	2e-127	424.8	0.845	0.995	1	662
gene-PA2062	NC_002516.2	2064	393	Dnd__DndA	7.2e-113	375.6	0.984	0.936	6	373
gene-PA2103	NC_002516.2	2105	392	CBASS__AG_E1_ThiF	4.6e-68	227.5	0.98	0.597	23	256
gene-PA2155	NC_002516.2	2158	401	DISARM__drmC	4.9e-16	57.4	0.57	0.359	197	340
gene-PA2371	NC_002516.2	2373	849	Dodola__DolB	3.6e-24	83.9	0.403	0.193	573	736
gene-PA2579	NC_002516.2	2577	288	Ukko__UkkD2	2.2e-60	202.6	0.943	0.903	28	287
gene-PA2579	NC_002516.2	2577	288	Ukko__UkkD1	2.2e-60	202.6	0.943	0.903	28	287
gene-PA2620	NC_002516.2	2618	758	Dodola__DolB	1.8999999999999999e-22	78.2	0.491	0.255	431	623
gene-PA2666	NC_002516.2	2664	118	Dpd__QueD	4.3000000000000004e-64	212.6	0.967	0.983	3	118
gene-PA2725	NC_002516.2	2722	627	Dodola__DolB	1.3e-16	59.0	0.44	0.289	294	474
gene-PA2732	NC_002516.2	2726	1146	RM__Type_I_REases_FAM_0.einsi_trimmed	9.3e-64	214.5	0.583	0.546	138	763
gene-PA2732	NC_002516.2	2726	1146	RM__Type_I_REases_FAM_1.einsi_trimmed	2.3999999999999997e-261	868.2	0.976	0.845	44	1011
gene-PA2734	NC_002516.2	2728	431	RM__Type_I_S_02	5.2e-18	63.6	0.427	0.469	197	398
gene-PA2734	NC_002516.2	2728	431	RM__Type_I_S_06	1.3999999999999999e-24	85.2	0.675	0.833	36	394
gene-PA2734	NC_002516.2	2728	431	RM__Type_I_S_03	1.2e-25	89.0	0.721	0.828	39	395
gene-PA2734	NC_002516.2	2728	431	RM__Type_I_S_51	1.6e-40	137.2	0.708	0.819	43	395
gene-PA2734	NC_002516.2	2728	431	RM__Type_I_S_04	1.7e-57	194.0	0.687	0.865	29	401
gene-PA2734	NC_002516.2	2728	431	RM__Type_I_S_52	9.099999999999999e-66	221.1	0.63	0.896	14	399
gene-PA2735	NC_002516.2	2729	792	RM_Type_II__Type_II_MTases_FAM_33	3.7999999999999995e-23	80.3	0.44	0.335	179	443
gene-PA2735	NC_002516.2	2729	792	PrrC__EcoprrI	7.099999999999999e-41	139.5	0.787	0.598	16	489
gene-PA2735	NC_002516.2	2729	792	RM__Type_I_MTases_FAM_0	9.2e-63	211.2	0.855	0.611	8	491
gene-PA2735	NC_002516.2	2729	792	RM__Type_I_MTases_FAM_3	4.1e-244	810.0	0.994	0.986	9	789
gene-PA2866	NC_002516.2	2865	267	Gao_Qat__QatD	2.4e-07	28.6	0.795	0.783	14	222
gene-PA2900	NC_002516.2	2899	269	Zorya__ZorB	3.2e-08	31.6	0.479	0.398	156	262
gene-PA2959	NC_002516.2	2958	258	Gao_Qat__QatD	6.9e-17	59.9	0.949	0.977	2	253
gene-PA2978	NC_002516.2	2977	154	Veles__VlsC2	7.7e-36	121.7	0.926	0.935	3	146
gene-PA2978	NC_002516.2	2977	154	Veles__VlsC1	6e-36	122.1	0.932	0.948	2	147
gene-PA3108	NC_002516.2	3107	501	ShosTA__ShosT	3.8e-05	21.8	0.502	0.206	293	395
gene-PA3155	NC_002516.2	3153	359	Veles__VlsB1	3e-126	419.7	0.976	0.992	3	358
gene-PA3155	NC_002516.2	3153	359	Veles__VlsB2	7.2e-127	421.9	0.936	0.989	4	358
gene-PA3217	NC_002516.2	3214	463	Pycsar__AG_cyclase	2.5e-32	110.6	0.521	0.343	227	385
gene-PA3232	NC_002516.2	3228	208	DEDDh_I_II_III_IV_V_VI_1	1.2e-32	111.6	1.0	0.788	33	196
gene-PA3272	NC_002516.2	3268	1448	BREX__brxHI	2.5e-69	232.7	0.534	0.279	38	441
gene-PA3272	NC_002516.2	3268	1448	Shango__SngC	4.6e-70	235.4	0.665	0.336	22	507
gene-PA3344	NC_002516.2	3341	712	PsyrTA__PsyrT	2.8e-92	308.3	0.52	0.489	2	349
gene-PA3438	NC_002516.2	3436	186	Dpd__FolE	5.4e-108	356.9	0.983	0.957	5	182
gene-PA3528	NC_002516.2	3526	224	DEDDh_I_II_III_IV_V_VI_1	8.700000000000001e-25	86.0	0.994	0.781	32	206
gene-PA3552	NC_002516.2	3550	382	Veles__VlsB1	1.4e-121	404.4	0.984	0.982	4	378
gene-PA3552	NC_002516.2	3550	382	Veles__VlsB2	5.4e-123	409.1	0.941	0.976	5	377
gene-PA3564	NC_002516.2	3562	225	Gao_Qat__QatD	4.3e-17	60.6	0.795	0.933	9	218
gene-PA3667	NC_002516.2	3666	401	Dnd__DndA	9e-39	131.8	0.865	0.843	23	360
gene-PA3692	NC_002516.2	3691	261	Zorya__ZorB	7.6e-10	36.9	0.664	0.613	87	246
gene-PA3693	NC_002516.2	3692	173	DarTG__DarG	2.7e-70	235.1	0.739	0.977	1	169
gene-PA3727	NC_002516.2	3726	230	DISARM__drmC	8.5e-13	46.7	0.57	0.596	88	224
gene-PA3814	NC_002516.2	3814	404	Dnd__DndA	2.2e-135	449.8	0.989	0.931	5	380
gene-PA3849	NC_002516.2	3848	334	DS-1__DS-1A	1.5999999999999999e-29	101.3	0.821	0.895	33	331
gene-PA4232	NC_002516.2	4232	165	vcrx091	2.3999999999999997e-88	293.4	0.662	1.0	1	165
gene-PA4282	NC_002516.2	4282	1211	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.8e-14	51.4	0.75	0.462	1	560
gene-PA4282	NC_002516.2	4282	1211	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	2.3e-22	77.2	0.748	0.699	1	847
gene-PA4284	NC_002516.2	4284	1245	Gabija__GajB_2	8e-52	174.9	0.721	0.7	18	889
gene-PA4316	NC_002516.2	4317	480	DEDDh_I_II_III_IV_V_VI_1	2.8e-20	71.4	0.975	0.373	10	188
gene-PA4542	NC_002516.2	4542	854	Dodola__DolB	4.6e-26	90.1	0.947	0.451	447	831
gene-PA4663	NC_002516.2	4664	252	CBASS__AG_E1_ThiF	2.1e-60	202.5	0.984	0.929	10	243
gene-PA4670	NC_002516.2	4671	313	narp1_adps	1.1999999999999999e-66	223.2	0.889	0.917	24	310
gene-PA4685	NC_002516.2	4686	231	Wadjet__JetB_I	5.6e-08	30.7	0.831	0.866	16	215
gene-PA4751	NC_002516.2	4754	639	Gao_Iet__IetA	2.7999999999999997e-29	100.6	0.587	0.371	162	398
gene-PA4951	NC_002516.2	4953	180	DEDDh_I_II_III_IV_V_VI_1	1.1e-11	43.4	0.8	0.783	8	148
gene-PA4953	NC_002516.2	4955	347	Zorya__ZorB	4.7e-09	34.3	0.808	0.749	23	282
gene-PA5296	NC_002516.2	5299	669	Gabija__GajB_3	3.1e-12	44.7	0.657	0.41	20	293
gene-PA5296	NC_002516.2	5299	669	Gabija__GajB_1	4.7999999999999997e-39	132.8	0.908	0.894	20	617
gene-PA5296	NC_002516.2	5299	669	UG35__UvrD	3.1e-88	295.1	0.516	0.629	3	423
gene-PA5296	NC_002516.2	5299	669	Gabija__GajB_2	4.5000000000000004e-104	347.4	0.777	0.951	3	638
gene-PA5310	NC_002516.2	5313	529	DISARM__drmC	5.6e-16	57.2	0.491	0.272	324	467
gene-PA5394	NC_002516.2	5397	490	DISARM__drmC	1.1e-18	66.1	0.577	0.294	313	456
gene-PA5443	NC_002516.2	5447	728	Gabija__GajB_1	6e-34	116.0	0.902	0.812	28	618
gene-PA5443	NC_002516.2	5447	728	UG35__UvrD	6.1e-74	247.8	0.516	0.577	11	430
gene-PA5443	NC_002516.2	5447	728	Gabija__GajB_2	1.6e-106	355.5	0.78	0.867	11	641
gene-PA5493	NC_002516.2	5496	913	UG9__DNA_pol	3.3000000000000004e-26	90.6	0.676	0.412	511	886
