hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-AUO97_RS00155	NZ_CP018664.1	26	513	ShosTA__ShosT	9.2e-05	20.0	0.532	0.216	285	395
gene-AUO97_RS00465	NZ_CP018664.1	88	228	DEDDh_I_II_III_IV_V_VI_1	6.6e-19	66.4	1.0	0.697	4	162
gene-AUO97_RS00740	NZ_CP018664.1	139	182	Dpd__FolE	3e-87	288.7	0.983	0.978	1	178
gene-AUO97_RS01600	NZ_CP018664.1	309	223	CBASS__QueC	3.4000000000000003e-20	70.7	0.936	0.91	4	206
gene-AUO97_RS01600	NZ_CP018664.1	309	223	Dpd__QueC	5.9e-48	160.8	0.986	0.982	2	220
gene-AUO97_RS01885	NZ_CP018664.1	356	187	Zorya__ZorB	3.2e-07	27.6	0.46	0.561	75	179
gene-AUO97_RS02170	NZ_CP018664.1	413	169	Thoeris__ThsB_Global	3.4e-25	86.8	0.813	0.982	2	167
gene-AUO97_RS02175	NZ_CP018664.1	414	285	Thoeris_II__ThsA_new_petit	1.3e-65	219.1	0.987	0.839	44	282
gene-AUO97_RS03195	NZ_CP018664.1	604	356	Zorya__ZorB	9.2e-08	29.4	0.438	0.281	232	331
gene-AUO97_RS03435	NZ_CP018664.1	652	487	DISARM__drmC	3.3e-12	44.2	0.543	0.318	279	433
gene-AUO97_RS03930	NZ_CP018664.1	742	541	DISARM__drmC	2.1e-12	44.8	0.415	0.244	356	487
gene-AUO97_RS04480	NZ_CP018664.1	841	211	ShosTA__ShosT	9.1e-10	36.4	0.629	0.692	60	205
gene-AUO97_RS05310	NZ_CP018664.1	1002	318	RM_Type_II__Type_II_REase11	4.2999999999999997e-103	342.6	1.0	0.987	1	314
gene-AUO97_RS05485	NZ_CP018664.1	1034	193	vcrx091	1.3999999999999999e-67	225.0	0.654	0.995	2	193
gene-AUO97_RS05920	NZ_CP018664.1	1117	371	TniQ_I-F_1	2.1e-16	58.8	0.993	0.38	10	150
gene-AUO97_RS06140	NZ_CP018664.1	1155	371	TniQ_I-F_1	1.1e-15	56.5	0.993	0.38	10	150
gene-AUO97_RS06375	NZ_CP018664.1	1193	376	PsyrTA__PsyrA	8.500000000000001e-30	101.7	0.616	0.644	72	313
gene-AUO97_RS06375	NZ_CP018664.1	1193	376	ShosTA__ShosA	9.8e-64	213.1	0.891	0.75	14	295
gene-AUO97_RS06820	NZ_CP018664.1	1279	822	DS-14__DS-14	0.0	1198.9	1.0	0.996	1	819
gene-AUO97_RS06935	NZ_CP018664.1	1303	359	Veles__VlsB1	6.800000000000001e-131	434.4	0.97	0.989	3	357
gene-AUO97_RS06935	NZ_CP018664.1	1303	359	Veles__VlsB2	8.300000000000001e-132	437.5	0.931	0.986	4	357
gene-AUO97_RS06960	NZ_CP018664.1	1308	142	Veles__VlsC2	2.8e-62	206.9	0.946	0.958	6	141
gene-AUO97_RS06960	NZ_CP018664.1	1308	142	Veles__VlsC1	1.1000000000000001e-63	211.5	0.98	1.0	1	142
gene-AUO97_RS07335	NZ_CP018664.1	1378	360	Paris_II__AriA_AAA21	2.4e-15	54.5	0.798	0.911	1	328
gene-AUO97_RS08245	NZ_CP018664.1	1544	331	PD-T4-5__PD-T4-5	2.8999999999999998e-52	175.8	0.931	0.949	2	315
