replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NZ_CP059180.1	gene-SAURSH1000_RS00205	gcu233__gcu233	38	defense-finder-models/DefenseFinder/gcu233/gcu233	NZ_CP059180.1_gcu233_5	1	1	1.0	1.0	1	gcu233__gcu233	mandatory	183	2.8999999999999996e-49	164.4	0.977	0.962	2	177			gcu233	gcu233	Defense
NZ_CP059180.1	gene-SAURSH1000_RS01655	Abi2__Abi_2	323	defense-finder-models/DefenseFinder/Abi2/Abi2	NZ_CP059180.1_Abi2_1	1	1	1.0	1.0	1	Abi2__Abi_2	mandatory	312	3.1e-23	80.2	0.989	0.603	29	216			Abi2	Abi2	Defense
NZ_CP059180.1	gene-SAURSH1000_RS01780	FS_Sma__Sma	346	defense-finder-models/DefenseFinder/FS_Sma/FS_Sma	NZ_CP059180.1_FS_Sma_4	1	1	1.0	1.0	1	FS_Sma__Sma	mandatory	234	6.2e-158	520.5	1.0	1.0	1	234			FS_Sma	FS_Sma	Defense
NZ_CP059180.1	gene-SAURSH1000_RS01865	RM__Type_I_MTases_FAM_0	363	defense-finder-models/RM/RM/RM_Type_I	NZ_CP059180.1_RM_Type_I_9	1	1	0.667	2.0	1	RM__Type_I_MTases_FAM_0	mandatory	518	1.1e-181	602.4	0.992	0.981	7	514		NZ_CP059180.1_PrrC_7	RM	RM_Type_I	Defense
NZ_CP059180.1	gene-SAURSH1000_RS01870	RM__Type_I_S_51	364	defense-finder-models/RM/RM/RM_Type_I	NZ_CP059180.1_RM_Type_I_9	1	1	0.667	2.0	1	RM__Type_I_S_01	mandatory	403	9.900000000000001e-33	110.4	0.45	0.548	8	228		NZ_CP059180.1_PrrC_7	RM	RM_Type_I	Defense
NZ_CP059180.1	gene-SAURSH1000_RS02865	gcu233__gcu233	540	defense-finder-models/DefenseFinder/gcu233/gcu233	NZ_CP059180.1_gcu233_6	1	1	1.0	1.0	1	gcu233__gcu233	mandatory	178	2.7000000000000003e-59	197.0	0.971	0.989	2	177			gcu233	gcu233	Defense
NZ_CP059180.1	gene-SAURSH1000_RS06045	aca11	1166	defense-finder-models/ADF/Anti_CRISPR/Aca_alone	NZ_CP059180.1_Aca_alone_11	1	1	0.077	1.0	1	aca11	mandatory	61	3.2e-26	88.2	0.906	0.951	3	60			Anti_CRISPR	Aca_alone	Antidefense
NZ_CP059180.1	gene-SAURSH1000_RS08615	Avs_II__Avs2A	1667	defense-finder-models/DefenseFinder/Avs/Avs_II	NZ_CP059180.1_Avs_II_2	1	1	1.0	1.0	1	Avs_II__Avs2A	mandatory	1370	4.7999999999999995e-105	349.6	0.539	0.58	176	970			Avs	Avs_II	Defense
NZ_CP059180.1	gene-SAURSH1000_RS08620	RM__Type_I_S_51	1668	defense-finder-models/RM/RM/RM_Type_I	NZ_CP059180.1_RM_Type_I_10	1	1	0.667	2.0	1	RM__Type_I_S_01	mandatory	399	2.5e-59	198.1	0.83	0.997	1	398		NZ_CP059180.1_PrrC_8	RM	RM_Type_I	Defense
NZ_CP059180.1	gene-SAURSH1000_RS08625	RM__Type_I_MTases_FAM_0	1669	defense-finder-models/RM/RM/RM_Type_I	NZ_CP059180.1_RM_Type_I_10	1	1	0.667	2.0	1	RM__Type_I_MTases_FAM_0	mandatory	518	2.3e-181	601.3	0.992	0.981	7	514		NZ_CP059180.1_PrrC_8	RM	RM_Type_I	Defense
NZ_CP059180.1	gene-SAURSH1000_RS10615	Dodola__DolB	2004	defense-finder-models/DefenseFinder/Dodola/Dodola	NZ_CP059180.1_Dodola_3	1	1	1.0	2.0	1	Dodola__DolB	mandatory	378	3.2e-153	507.4	0.995	0.987	1	373			Dodola	Dodola	Defense
NZ_CP059180.1	gene-SAURSH1000_RS10620	Dodola__DolA	2005	defense-finder-models/DefenseFinder/Dodola/Dodola	NZ_CP059180.1_Dodola_3	1	1	1.0	2.0	1	Dodola__DolA	mandatory	255	4.3e-94	312.3	0.969	1.0	1	255			Dodola	Dodola	Defense
