hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-LUU82_00345	CP089586.1	65	730	Gabija__GajB_3	4.9e-16	56.1	0.666	0.381	24	301
gene-LUU82_00345	CP089586.1	65	730	Gabija__GajB_1	4.3999999999999997e-44	148.3	0.927	0.827	11	614
gene-LUU82_00345	CP089586.1	65	730	UG35__UvrD	3.2e-103	343.6	0.534	0.596	6	440
gene-LUU82_00345	CP089586.1	65	730	Gabija__GajB_2	1.1e-115	384.6	0.777	0.895	8	660
gene-LUU82_00405	CP089586.1	77	184	DEDDh_I_II_III_IV_V_VI_1	9.1e-37	123.9	0.988	0.826	7	158
gene-LUU82_00480	CP089586.1	92	154	Veles__VlsC1	9.8e-29	97.6	0.953	0.929	3	145
gene-LUU82_00480	CP089586.1	92	154	Veles__VlsC2	4.2e-30	102.1	0.966	0.935	4	147
gene-LUU82_01320	CP089586.1	215	518	RM_Type_II__Type_II_MTases_FAM_28	6.6e-16	55.1	0.458	0.51	198	461
gene-LUU82_01320	CP089586.1	215	518	RM_Type_II__Type_II_MTases_FAM_14	1.3e-18	63.9	0.449	0.475	196	441
gene-LUU82_01320	CP089586.1	215	518	RM_Type_II__Type_II_MTases_FAM_13	3.1e-23	79.4	0.439	0.486	172	423
gene-LUU82_01320	CP089586.1	215	518	RM_Type_II__Type_II_MTases_FAM_6	9.899999999999999e-24	81.1	0.467	0.49	194	447
gene-LUU82_01320	CP089586.1	215	518	RM_Type_II__Type_II_MTases_FAM_33	1e-40	137.3	0.501	0.498	154	411
gene-LUU82_01320	CP089586.1	215	518	RM__Type_I_MTases_FAM_3	5.6e-50	167.5	0.686	0.851	9	449
gene-LUU82_01320	CP089586.1	215	518	RM__Type_I_MTases_FAM_1	1.6000000000000002e-56	189.0	0.961	0.936	25	509
gene-LUU82_01320	CP089586.1	215	518	PrrC__EcoprrI	5.4999999999999994e-158	524.4	0.956	0.988	2	513
gene-LUU82_01320	CP089586.1	215	518	RM__Type_I_MTases_FAM_0	8.5e-182	602.8	0.992	0.981	7	514
gene-LUU82_01325	CP089586.1	216	372	RM__Type_I_S_02	4.299999999999999e-22	76.0	0.858	0.946	20	371
gene-LUU82_01325	CP089586.1	216	372	RM__Type_I_S_51	1.9e-24	83.1	0.434	0.5	8	193
gene-LUU82_01325	CP089586.1	216	372	RM__Type_I_S_06	1.6e-24	84.0	0.745	0.981	7	371
gene-LUU82_01325	CP089586.1	216	372	RM__Type_I_S_52	1.3999999999999998e-29	100.6	0.656	0.944	21	371
gene-LUU82_01325	CP089586.1	216	372	RM__Type_I_S_04	2.4e-33	113.2	0.733	0.949	19	371
gene-LUU82_01815	CP089586.1	311	382	Dnd__DndA	2.9999999999999997e-93	310.0	0.973	0.95	5	367
gene-LUU82_01835	CP089586.1	315	315	RM_Type_II__Type_II_MTases_FAM_29	1.3e-06	24.5	0.42	0.73	46	275
gene-LUU82_01835	CP089586.1	315	315	RM_Type_II__Type_II_MTases_FAM_13	2.1e-09	33.7	0.412	0.721	71	297
gene-LUU82_01945	CP089586.1	336	876	UG9__DNA_pol	8.1e-31	104.7	0.715	0.449	466	858
gene-LUU82_01975	CP089586.1	342	306	Dodola__DolB	0.00051	16.5	0.624	0.729	4	226
gene-LUU82_02235	CP089586.1	393	257	CBASS__AG_E1_ThiF	3.4e-34	115.6	0.627	0.603	6	160
gene-LUU82_02265	CP089586.1	399	380	Dnd__DndA	5.6e-115	381.5	0.995	0.979	1	372
gene-LUU82_02280	CP089586.1	402	825	recD_IV-D_1	1.5e-80	268.6	0.844	0.775	121	759
gene-LUU82_02370	CP089586.1	420	228	Detocs__dtcC	3.6e-21	72.8	0.616	0.987	2	226
gene-LUU82_02550	CP089586.1	456	605	UG6__DnaG	1.5e-37	126.6	0.896	0.517	35	347
gene-LUU82_02765	CP089586.1	498	559	Retron_I_A__ATPase_TypeIA	1.6e-10	37.9	0.485	0.492	2	276
gene-LUU82_02955	CP089586.1	535	459	PsyrTA__PsyrT	3e-84	280.7	0.502	0.73	4	338
gene-LUU82_03095	CP089586.1	563	897	csf4_IV-A_1	9.300000000000001e-36	120.8	0.916	0.692	238	858
gene-LUU82_03095	CP089586.1	563	897	DEDDh_I_II_III_IV_V_VI_1	3e-42	141.7	0.988	0.173	8	162
gene-LUU82_03640	CP089586.1	668	1009	Lamassu-Fam__LmuB_SMC_Mrr	1.7e-06	24.1	0.415	0.241	403	645
