hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-Y11_RS00890	NC_017564.1	161	505	ShosTA__ShosT	6.4e-05	20.5	0.494	0.2	295	395
gene-Y11_RS01385	NC_017564.1	252	333	DS-1__DS-1A	1.1e-19	68.4	0.699	0.766	34	288
gene-Y11_RS01395	NC_017564.1	254	585	RM__Type_I_REases_FAM_2.einsi_trimmed	4.7000000000000004e-30	102.4	0.441	0.609	6	361
gene-Y11_RS01800	NC_017564.1	332	554	Gabija__GajA	1.3e-41	140.8	0.756	0.805	1	446
gene-Y11_RS01830	NC_017564.1	338	758	Dodola__DolB	9.8e-21	72.0	0.491	0.255	425	617
gene-Y11_RS02030	NC_017564.1	375	1481	Wadjet__JetC_III	6.5e-08	28.3	0.445	0.442	781	1434
gene-Y11_RS02030	NC_017564.1	375	1481	Wadjet__JetC_II	6.3e-13	45.3	0.416	0.369	890	1435
gene-Y11_RS02175	NC_017564.1	403	684	Gabija__GajB_3	1.2e-15	55.4	0.593	0.349	426	664
gene-Y11_RS02175	NC_017564.1	403	684	Gabija__GajB_2	3.5e-65	218.5	0.744	0.721	173	665
gene-Y11_RS02490	NC_017564.1	465	269	Gao_Qat__QatD	9.2e-18	62.2	0.949	0.933	3	253
gene-Y11_RS03000	NC_017564.1	566	220	DEDDh_I_II_III_IV_V_VI_1	9.300000000000001e-26	88.7	0.994	0.659	5	149
gene-Y11_RS03665	NC_017564.1	692	382	Veles__VlsB1	2.8000000000000004e-122	406.1	0.984	0.982	3	377
gene-Y11_RS03665	NC_017564.1	692	382	Veles__VlsB2	1.4e-125	417.1	0.949	0.984	1	376
gene-Y11_RS03790	NC_017564.1	717	416	Dnd__DndA	4.6e-34	115.8	0.602	0.543	35	260
gene-Y11_RS04175	NC_017564.1	792	280	Lamassu-Fam__LmuA_effector_Protease	8.9e-07	26.1	0.421	0.729	65	268
gene-Y11_RS04280	NC_017564.1	810	791	Shango__SngA	6.7e-68	228.2	0.945	0.89	85	788
gene-Y11_RS05055	NC_017564.1	951	486	DISARM__drmC	2.1e-17	61.3	0.615	0.317	306	459
gene-Y11_RS05390	NC_017564.1	1009	634	csf4_IV-A_1	3.4e-50	169.1	0.905	0.926	15	601
gene-Y11_RS05840	NC_017564.1	1092	315	narp1_adps	1.8e-69	231.9	0.892	0.905	28	312
gene-Y11_RS05975	NC_017564.1	1115	353	Thoeris__ThsB_Global	6.4e-12	43.5	0.798	0.55	131	324
gene-Y11_RS06105	NC_017564.1	1139	203	DS-34__DS-34A	5.8e-49	164.8	0.663	0.911	14	198
gene-Y11_RS06220	NC_017564.1	1162	105	Retron_VI__HTH	8.9e-35	116.5	0.97	0.943	1	99
gene-Y11_RS06225	NC_017564.1	1163	310	Retron__RT_Tot_9	2.5999999999999997e-29	100.1	0.749	0.884	25	298
gene-Y11_RS06225	NC_017564.1	1163	310	Retron__RT_Tot_5	3.7e-30	102.6	0.456	0.716	47	268
gene-Y11_RS06225	NC_017564.1	1163	310	Retron__RT_Tot_13	9.700000000000001e-31	104.6	0.869	0.903	17	296
gene-Y11_RS06225	NC_017564.1	1163	310	Retron__RT_Tot_14	4.1e-36	122.4	0.787	0.719	28	250
gene-Y11_RS06225	NC_017564.1	1163	310	Retron__RT_Tot_6	4.5999999999999995e-39	132.0	0.911	0.955	11	306
gene-Y11_RS06225	NC_017564.1	1163	310	Retron__RT_Tot_7	2e-44	149.8	0.804	0.945	16	308
gene-Y11_RS06225	NC_017564.1	1163	310	Retron__RT_Tot_10	4e-108	359.2	0.942	0.965	8	306
gene-Y11_RS06825	NC_017564.1	1267	409	Zorya__ZorB	1.3e-09	35.6	0.86	0.626	12	267
gene-Y11_RS07025	NC_017564.1	1302	678	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	9.499999999999999e-190	630.8	0.638	0.984	7	673
gene-Y11_RS23695	NC_017564.1	1305	113	Lamassu-Fam__LmuC_acc_hydrolase_protease	1.6000000000000001e-28	97.7	0.567	0.92	7	110
gene-Y11_RS07045	NC_017564.1	1306	431	Lamassu-Fam__LmuA_effector_Protease	2.3e-143	476.1	1.0	1.0	1	431
gene-Y11_RS07050	NC_017564.1	1307	350	Avs_I__Avs1A	2.4000000000000002e-20	70.4	0.505	0.534	2	188
gene-Y11_RS07050	NC_017564.1	1307	350	Lamassu-Fam__LmuA_effector_Hydrolase	8.2e-130	430.5	0.997	0.997	1	349
