Geneid	0	30	60	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-VC_RS01015	83.4266617537702	107.5542001278939	95.37251337406185	host	gene-VC_RS01015	None	None	1.2726626994835284
gene-VC_RS15005	3.206007383370172	4.0704111324162	6.519935996452754	host	gene-VC_RS15005	None	None	0.9141081580507541
gene-VC_RS12905	547.8424530496933	816.9372840622433	814.1598373619613	host	rpmE	None	None	27.4819359727546
gene-VC_RS15700	43.837630626284216	67.96297561023079	115.13687835966408	host	gene-VC_RS15700	None	None	12.586933192008146
gene-VC_RS00340	16.371935409100278	13.068934073640397	14.085639775174096	host	gene-VC_RS00340	None	None	0.2863976550492197
gene-VC_RS09345	89.1669836135581	90.50793390519455	92.6522334238742	host	gene-VC_RS09345	None	None	0.6539487185539746
gene-VC_RS00695	64.54607617530947	54.98677436716637	43.75916137052544	host	sthA	None	None	2.0125577751500314
gene-VC_RS03270	85.6986683955174	97.7906644719921	179.3010511142912	host	truB	None	None	30.896784832805178
gene-VC_RS08085	120.09096342002609	110.18273572064858	98.69810419875542	host	gene-VC_RS08085	None	None	1.9077493108647348
gene-VC_RS18305	88.61718043401703	86.95063417951661	107.98661221018706	host	gene-VC_RS18305	None	None	1.3434220005043098
gene-VC_RS09215	108.73302678864549	109.29402346881626	115.43939642552995	host	pyrF	None	None	0.44002700562790237
gene-VC_RS14185	54.804834993404434	48.51023698992277	33.6913875959748	host	gene-VC_RS14185	None	None	2.1194501297288237
gene-VC_RS13105	150.53773846398997	185.08763942935389	181.5045628856228	host	nudE	None	None	1.9664767939028032
gene-VC_RS18040	4.1969025859289095	4.547855024562634	5.4745853409264535	host	gene-VC_RS18040	None	None	0.21812877728691069
gene-VC_RS18185	34.15378598725129	30.829566775591264	19.293820879079192	host	gene-VC_RS18185	None	None	1.9188940827968595
gene-VC_RS02205	231.6548576456219	322.6264290639222	368.75954601526263	host	cgtA	None	None	11.918693582146277
gene-VC_RS08410	1504.314364217309	423.52986514338016	166.0229104172068	host	gene-VC_RS08410	None	None	488.6706727672901
gene-VC_RS02450	930.7717363715559	766.1592377519937	522.0226551967885	host	fbaA	None	None	48.34980488616206
gene-VC_RS10585	46.793397856758844	39.16283289671435	29.470777439651048	host	flgL	None	None	1.5093207042139114
gene-VC_RS02305	864.4543929169337	510.39032703494604	186.99661174435212	host	gene-VC_RS02305	None	None	149.31502886272474
gene-VC_RS17710	115.43927797245487	146.04483087152778	117.51722595558448	host	gene-VC_RS17710	None	None	2.045803573816966
gene-VC_RS03650	36.72770001304233	34.820850662795586	20.89600474847761	host	ppk1	None	None	1.6671940435636168
gene-VC_RS10155	30.41694031106451	33.362275749851804	35.86475918967338	host	mnmC	None	None	0.3582847680266458
gene-VC_RS11495	39.98932275146228	29.490120561425726	31.625056782098813	host	gene-VC_RS11495	None	None	0.847048574387708
gene-VC_RS03150	88.31853999143426	90.94297346835185	87.20993676185016	host	rsmC	None	None	0.4030439426888967
gene-VC_RS00995	7.24176354465115	4.943123201353321	4.1507554122870385	host	fhuB	None	None	0.45427430953319703
gene-VC_RS05240	65.98068925458321	78.86760522602567	124.13375278745741	host	gene-VC_RS05240	None	None	7.5583022749459765
gene-VC_RS09850	539.754212300048	559.0946773374052	795.8108670331276	host	sodB	None	None	25.069141398307817
gene-VC_RS12575	64.10223516543938	66.91628174232777	75.5982912024487	host	kefG	None	None	0.8057025665847246
gene-VC_RS02155	24.111332883597004	33.12747544577784	35.1514899997733	host	gene-VC_RS02155	None	None	1.0339499633632574
gene-VC_RS04730	182.61432573459797	206.31763813415432	201.93066988829932	host	lptE	None	None	3.196314778668054
gene-VC_RS05910	20.184923834693763	32.14067140709232	49.74118609782415	host	gene-VC_RS05910	None	None	4.753384968793073
gene-VC_RS06325	55.36590434401995	41.1476386666674	31.012175193973423	host	gene-VC_RS06325	None	None	2.5518849924781315
gene-VC_RS16815	26.45006055738078	33.79066015835881	60.54165768601097	host	gene-VC_RS16815	None	None	5.4817697083720365
gene-VC_RS12160	197.32741176246734	177.11875049069226	335.0476616753822	host	mlaE	None	None	116.70377141247326
gene-VC_RS16140	156.20618033907007	153.52582524489006	137.3216980966354	host	gene-VC_RS16140	None	None	0.8932113587017446
gene-VC_RS16495	2.568990338877962	2.9694057579302573	2.9986587475047677	host	gene-VC_RS16495	None	None	0.06522405404250654
gene-VC_RS10260	96.66948885946971	72.71020217521298	38.302053394245554	host	fliG	None	None	8.633520015617286
gene-VC_RS06215	42.5526672458475	28.737770795272354	26.74229839990336	host	gene-VC_RS06215	None	None	1.8546685925724538
gene-VC_RS03665	48.31208442948567	39.76304684905147	34.56687829028464	host	pstB	None	None	1.2679553723711838
gene-VC_RS03730	140.4764018119528	90.90228229970266	73.57332540961848	host	secF	None	None	12.748447035586652
gene-VC_RS09105	101.36511638325715	107.88828987905721	108.29698968504658	host	gene-VC_RS09105	None	None	0.947720568644353
gene-VC_RS09510	49.48241596001041	47.5201774704704	55.03638630548651	host	gene-VC_RS09510	None	None	0.541540456620951
gene-VC_RS17820	57.830927531568705	51.48020690594373	32.74930253606616	host	malE	None	None	2.6798087139017905
gene-VC_RS18360	15.475717114493534	9.65468377809466	6.948964782611861	host	speF	None	None	1.2951605539866347
gene-VPVV882_gp38	63.16202641435638	756.2989618083233	2742.5904225131567	phage	gene-VPVV882_gp38	middle	late	1098.229402589218
gene-VC_RS11600	71.94596896004334	1460.5110130796068	80.84171598282138	host	ftsL	None	None	3068.2707899441743
gene-VC_RS16805	31.696694916015833	33.64109300071308	23.258409491356232	host	gene-VC_RS16805	None	None	0.9593701209042798
gene-VC_RS18845	1.3665301168493498	2.6742016786749017	3.266121052360089	host	gene-VC_RS18845	None	None	0.7375026713792271
gene-VC_RS11745	36.8655654214373	25.206541849131998	16.33630827195162	host	glnE	None	None	2.863839977150359
gene-VC_RS00960	43.70801531602667	45.61541626695551	43.83293586659832	host	recQ	None	None	0.23498201756668485
gene-VC_RS02065	150.8994622079092	200.84759922653143	753.4264163740555	host	gene-VC_RS02065	None	None	728.646897736047
gene-VC_RS08640	34.680455746332285	34.594756264414194	35.278717269936095	host	gene-VC_RS08640	None	None	0.2488771516008736
