Geneid	30_R1	480_R1	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0646	105.17920501414415	134.0822160902435	host	gene-SynWH7803_0646	None	None	1.7457558460723404
gene-SynWH7803_1173	125.43643221080711	93.9607008753289	host	gene-SynWH7803_1173	None	None	2.2578272768820655
gene-SynWH7803_2450	92.08388803445445	123.05449443503478	host	gene-SynWH7803_2450	None	None	2.2292127741447945
gene-SynWH7803_0497	841.0420134667909	628.2764429454755	host	cpeR	None	None	15.404825210525711
gene-SynWH7803_0475	86.0777754655405	102.99327602751595	host	gene-SynWH7803_0475	None	None	0.7566842121061031
gene-SynWH7803_0554	22470.532601153576	17730.07125380774	host	gene-SynWH7803_0554	None	None	279.497963099708
gene-SynWH7803_2508	47.130232820699554	51.111423242992764	host	gene-SynWH7803_2508	None	None	0.08066780332104413
gene-SynWH7803_1362	116.3106689586584	116.02850299055622	host	secD	None	None	0.0001713392384226149
gene-SynWH7803_2190	40.99589824834888	42.09249006395011	host	gene-SynWH7803_2190	None	None	0.007236351760271181
gene-SynWH7803_2426	47.803111274716784	44.30971021740646	host	gene-SynWH7803_2426	None	None	0.06624404045782298
gene-SynWH7803_1185	35.08390079945191	45.83068041924464	host	gene-SynWH7803_1185	None	None	0.7136740403082378
gene-SynWH7803_1314	136.07208373029408	161.9739999207116	host	typA	None	None	1.125512628981578
gene-SynWH7803_2309	97.07399745929074	99.13291714213085	host	gene-SynWH7803_2309	None	None	0.01080275450281128
gene-SynWH7803_2019	942.8714743062765	819.6880882810054	host	atpF	None	None	4.304576967139944
gene-SynWH7803_1403	156.55234625788893	166.3802357950642	host	gene-SynWH7803_1403	None	None	0.1495473329771992
gene-SynWH7803_1779	67.7481489150593	94.86151222180501	host	gene-SynWH7803_1779	None	None	2.260426793414326
gene-SynWH7803_1577	148.69783705938264	145.18616973809276	host	gene-SynWH7803_1577	None	None	0.020980739152494023
gene-SynWH7803_1682	380.2784535376352	442.23617082025305	host	gene-SynWH7803_1682	None	None	2.3335504422608926
gene-SynWH7803_0286	170.2570497022582	175.8508258507673	host	gene-SynWH7803_0286	None	None	0.045203148800980614
gene-SynWH7803_2015	58.892101443160115	72.9813219901034	host	gene-SynWH7803_2015	None	None	0.7526388958912017
