Geneid	15_R1	60_R1	180_R1	300_R1	420_R1	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_1101	303.93249309883413	227.37081914851183	197.50603845957696	68.76461608071362	32.391486768858165	host	tldD	None	None	61.55718264053485
gene-SynWH7803_0607	127.99678339618154	111.9365491026296	152.24252137135795	42.61963366752969	29.132552479604126	host	gene-SynWH7803_0607	None	None	25.24108355881688
gene-SynWH7803_1992	38.94341761214665	69.13203864827334	35.593672434093	25.529558791503487	13.781977487329815	host	gene-SynWH7803_1992	None	None	9.334617869637894
gene-SynWH7803_1479	122.78061353991083	348.8100702648918	208.686586607063	166.02592070543025	76.3170738825667	host	gene-SynWH7803_1479	None	None	47.079940351786
gene-SynWH7803_0059	1388.68870140118	1676.9714916581336	1533.7782133309956	261.027318657362	98.59304518338644	host	rpmI	None	None	454.233046554546
gene-SynWH7803_0086	34.51574017545762	47.111468307496835	27.00649944326698	17.872964251519868	11.868896996395359	host	gene-SynWH7803_0086	None	None	5.5712993335614325
gene-SynWH7803_1698	17.395289959358184	24.798335564659276	11.117133304959298	15.380234983864701	12.442207971866152	host	gene-SynWH7803_1698	None	None	1.429563864397352
gene-SynWH7803_1186	22.624590503778947	34.99006697550374	25.17932703868951	17.649337531658137	11.763999680415555	host	gene-SynWH7803_1186	None	None	2.6911754215371486
gene-SynWH7803_0951	200.4767054942671	129.1545442357338	162.29620141620438	37.72175830637231	14.086643569253809	host	sodC	None	None	47.272019305609824
gene-SynWH7803_2328	319.03963926158264	325.92013560726895	246.42006348550564	97.09946275991946	57.20841533926915	host	dgkA	None	None	60.00034360252362
gene-SynWH7803_2404	59.11659170440151	71.59947973095247	66.3263070618166	22.47231185899668	9.751394041675645	host	gene-SynWH7803_2404	None	None	13.556051799504088
gene-SynWH7803_1670	51.93643886581023	76.03509522288181	31.744481801734867	42.85462914138575	30.62459021575567	host	gene-SynWH7803_1670	None	None	5.938469228585081
gene-SynWH7803_2291	343.6557913365758	366.5632722216937	320.21992197016556	95.52912817847533	38.475803688338615	host	ndhA	None	None	81.0936507333868
gene-SynWH7803_1136	49.31368859282481	84.99442767969987	54.98033695138782	23.757686353098737	13.00376206680465	host	gene-SynWH7803_1136	None	None	14.123182223962829
gene-SynWH7803_2011	114.70080464624606	104.71615216707369	88.8160175143155	28.95670688805801	17.25137937113009	host	gene-SynWH7803_2011	None	None	22.628416535667373
gene-SynWH7803_2433	28.772641447398374	44.96699179847848	21.114921380128642	20.47463858511306	13.772426067822414	host	tauB	None	None	4.424267334831736
gene-RNA_7	52.40635943776682	139.23814644473438	37.87496873141101	49.648655712581046	28.437934034831763	host	gene-RNA_7	None	None	25.73944095540941
gene-SynWH7803_0504	336.2066676932373	259.24606301918766	229.8553174838056	104.98711593670559	31.684372472585892	host	gene-SynWH7803_0504	None	None	62.39444550125358
