Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA3105	6.375018039500725	8.587945470005694	8.214101008667205	9.681008412306522	4.887655686416354	4.311338403015281	9.703269133565435	1.292880325934479	1.4895073762286957	3.9530030140312653	0.9464451842863841	0.5434201455023512	0.6746785847178874	host	xcpQ	None	None	2.4782040847864684
gene-PA0366	2.5225819974315096	2.907241373306522	2.6643605732789277	2.9316650852765025	1.480596572476556	3.0437019759073762	2.953244355878479	0.19001921022142415	1.0042215013336242	1.5092417093176163	1.2549091051678694	0.7122621839372052	0.3472541028179664	host	gene-PA0366	None	None	0.5805018227720662
gene-EST35_0025	0.11854892736697832	0.21540138786381033	0.11593687223627518	0.11995232850204937	50.747690992268254	232.7121326507747	67.01422756240983	133.95843234458772	315.05505308897534	263.2156707294068	66.90311709838718	131.8783636662596	259.2825382497216	phage	gene-EST35_0025	early	middle	104.36068581571611
gene-PA3564	4.168096357778804	5.141040204147756	3.9572435063302067	7.726840700587764	4.064275081616614	2.5511962765835823	6.494250428417105	1.0427514359142045	0.034746384457865855	0.8209883853486258	0.6853113063032281	0.2844108385752605	0.2700236258288751	host	gene-PA3564	None	None	2.150050219874384
gene-PA2070	0.975572898309413	1.829322569803665	1.4273000184729177	1.3977645906947092	1.4318304252723653	1.1748558376663367	1.5487460595378666	0.6214081114469248	0.27631460784541223	0.4633319241717784	0.9075113614101036	0.09380438554598344	0.10885012709754883	host	gene-PA2070	None	None	0.3331913219186272
gene-PA4237	478.3996368153115	658.3958821445226	536.3435910510798	756.358484659453	334.0923044817138	330.3924491801929	378.8108575563305	42.028682786571785	209.54582258969296	348.6502743591499	11.495277924149075	62.79353760605483	73.16334651222245	host	rplQ	None	None	164.16351293856803
gene-PA3802	31.772766705429728	40.23998485372066	32.13608326009683	37.42345273921844	22.908564800606108	19.757510463859592	31.43970075932235	6.65249300692685	11.523355586042832	16.483155647422688	2.3071429408053743	3.3953551738748877	5.29156597778805	host	hisS	None	None	8.440756068833041
gene-PA1440	17.9964529840667	24.28540749497184	25.216269711389852	27.509475337587343	18.8079167824525	20.09561060203918	25.550423167939663	4.64294489432254	9.895983026566265	19.425255391948774	2.456045346224614	3.888468301745435	3.069058616017113	host	gene-PA1440	None	None	5.320334752648872
gene-PA2557	1.2534713134342097	1.0392640412685787	2.796848793947665	1.0466636805577052	2.0881342197105806	4.659775367832181	9.124585024047352	0.6096085317652272	1.1257828564348538	1.8521497973465	0.9260963598692272	0.47130938963900315	0.47832756575400737	host	gene-PA2557	None	None	2.5198112162944017
gene-PA4732	14.680842843121477	20.146821700919627	17.992149199478163	22.325829963251703	7.907232280910962	7.922914076533031	13.461729409035769	1.9009727216724484	2.674156875195103	5.8705255253317885	1.3500649420594493	1.1746863103677299	0.832520718192604	host	pgi	None	None	6.121203809998769
