Geneid	0_R1	0_R2	0_R3	15_R1	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-VC_RS05940	89.18907619813169	111.04892460400166	124.51839515703753	83.85966069048065	132.75392119377534	132.56820856782142	91.27794304097827	90.28961578190591	81.80386524294495	99.35016916074461	92.59737323232622	96.08035991294484	host	uvrY	None	None	3.062564687394792
gene-VC_RS09250	112.31001701508838	134.24397146632788	159.20784682847838	107.32152493480093	138.7617473203922	148.48917735291715	109.05704769293665	95.04375768589492	97.91022344592942	109.22392406314206	120.56580373216525	104.50653652546904	host	ppiD	None	None	3.278294258825005
gene-VPVV882_gp06	180.85809550378121	398.08127419318106	25.725314022027703	45.4043332486196	54.83463416223696	83.54380489258055	1948.9540913364217	2200.50128980879	2158.377428358693	3588.797975927127	2901.4541740165046	4063.4343302342277	phage	gene-VPVV882_gp06	middle	late	1436.399560864209
gene-VC_RS06190	115.40251743368638	132.4846255483641	144.29988677578362	103.54327793904963	134.13667779817695	131.45355261876983	101.87132318376722	78.97341994422378	96.31631801718162	92.29332080931658	94.64329127258095	82.03735725355398	host	gene-VC_RS06190	None	None	4.076520352002098
gene-VPVV882_gp21	520.9996613228217	796.2557171636886	51.37202746652152	76.33534208357945	107.32430195498235	144.18524143828662	5466.378194294676	4579.501714061264	5338.1255339922545	5844.218269912572	6466.7732054101425	6215.0605554042095	phage	gene-VPVV882_gp21	middle	late	2506.3910923252906
gene-VC_RS11700	64.83707105641496	93.9942756534864	88.00535497075167	79.80682252702924	104.45379975475575	89.51569681860364	77.97617005751128	84.93508597877324	74.66885611338867	93.25898505814024	98.67989449681322	94.59549132523406	host	yacG	None	None	1.3159645959665305
gene-VC_RS02800	2286.3704145654406	3022.6516225024125	2467.987955476898	2651.837089905554	3253.8334088167476	2184.212959519905	1756.3358090369375	2527.9636813600737	1854.5717544323727	1239.4697217345156	1478.9977157165454	1393.2311220385316	host	gene-VC_RS02800	None	None	175.41554952542842
gene-VC_RS05315	17.88549421343551	23.220989482905924	25.061182093001637	16.90121065895266	22.96253085033297	23.468784205400656	23.16318173193332	17.865946174909535	19.495476388868173	21.99709978333541	24.867721253708993	20.706815757946565	host	gene-VC_RS05315	None	None	0.34188091921793873
gene-VC_RS05325	15.683561782565238	17.564648277032482	22.541171875889393	14.369669993039308	18.547008613697795	19.99358645633673	14.446622377875016	12.27539583558667	13.420213328487424	15.211598239191968	19.90719007277983	17.067863456862796	host	gene-VC_RS05325	None	None	0.51537603382996
gene-VC_RS08465	26.486865100934562	33.39058925982125	32.15581528700035	28.911724011589527	33.44801182208898	33.21110514122115	29.6897205451922	25.20338192714131	25.600153161247025	32.82087953872017	33.88739287324571	34.77397939331288	host	gene-VC_RS08465	None	None	0.35863771360016655
gene-VC_RS12000	99.2625752890714	93.54374416339023	115.09841141434258	87.92949494016749	94.64755299272323	106.33370578090053	69.40202687691357	61.25592004740489	59.617055711823326	108.92407592058379	111.69699886268069	105.59058256950794	host	leuC	None	None	3.749305243012636
gene-VC_RS18010	39.097637777429654	41.99376271764579	48.677829541398296	38.78019803075591	43.10522134501135	46.37823507450781	31.99120951050961	29.745468040828545	26.821437705969537	21.724781729058247	20.077810930692756	19.67574405627167	host	ppsA	None	None	2.910439617896083
gene-VC_RS00165	65.82207805340288	70.13341247002943	85.00369774002016	68.65272612829986	75.02957036800971	75.4837302262939	55.28185201596419	44.39358101302818	46.72106649783729	47.15342629802044	51.37056091666744	44.35849528340217	host	ccoG	None	None	3.0452400067733434
gene-VC_RS12510	1408.0939290330546	1551.2829797302393	1930.265784509398	1304.3553539950065	1503.8233613364425	1573.0382417239223	1553.6610129490323	1713.6046978461459	1668.9641101097777	1621.9574701982824	1731.4365596862528	1500.1182194694945	host	rplW	None	None	15.297709054265807
gene-VC_RS01050	65.2027795653113	71.35613580601304	95.28682513951573	64.79435901706455	82.78954569592639	88.94585980276175	63.289696750630206	49.32896397012189	43.43253087676544	47.47967962988065	59.1050746492365	56.115200860446365	host	gene-VC_RS01050	None	None	3.7830367021284155
gene-VC_RS07365	9.04265828048331	13.542836288366168	12.702879182601679	10.311175599605669	13.523521206036891	14.660691323975295	10.755743984318054	8.718393735647268	9.25729317076903	12.456556452836768	11.657466660611192	14.0453046859529	host	gene-VC_RS07365	None	None	0.33623577082490164
gene-VC_RS07550	21.81284130710497	23.73960502065811	28.946881241541522	23.98933190641313	25.6437471687898	27.150233874732386	25.786096338386745	19.608767449676982	21.38045836401551	23.574103349294447	28.211183026289515	22.27133881547763	host	gene-VC_RS07550	None	None	0.31075838326587407
gene-VC_RS11670	71.94661861626895	67.69463910952439	59.6685991415714	69.61151681326615	68.07160801786453	76.44689188670962	64.7567363666706	49.599655193663814	52.92304473563401	61.844556614295165	57.856035484611986	61.81708828294159	host	gene-VC_RS11670	None	None	0.8836956826227649
gene-VC_RS12385	119.14679717434825	156.21738947120724	113.2394153831926	98.27578684691547	155.8136752925465	114.08373593274567	279.7569849726385	268.09892094906854	269.77684917040983	442.3397822299027	563.5970324940504	406.2975826157367	host	gene-VC_RS12385	None	None	85.82933360502024
gene-VC_RS17315	40.65698819680001	45.988465939915145	41.37249597243255	36.72103291868462	40.156999343722234	46.143845673891605	58.0384850648277	40.20584442108344	56.00041215013643	71.54670168762395	66.03024776840195	67.58951455993805	host	gene-VC_RS17315	None	None	2.7585661177263643
