Geneid	8	24	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-PA3199	1.0	0.6777919946594138	host	gene-PA3199			1.37453136789781
aph	1.0	0.5204534283309774	host	aph			1.0536801369703865
stk1	1.0	0.9887455711099054	host	stk1			0.08027806790612718
gene-PA1306	1.0	0.7001862868883653	host	gene-PA1306			1.9475509285368353
rph	1.0	0.6985541350681685	host	rph			6.2629919765210955
gene-PA1662	1.0	0.8963372454876927	host	gene-PA1662			0.24895112752277224
gene-PA1413	1.0	0.5321698946911121	host	gene-PA1413			0.9865037112761661
gene-PA3908	1.0	0.9326907136250608	host	gene-PA3908			0.05022906975251796
gene-PA0671	0.6474585363830336	1.0	host	gene-PA0671			0.30771870730635226
gene-PA0098	1.0	0.6411610068585021	host	gene-PA0098			0.7460648849871729
gene-PA2418	0.7974641278158342	1.0	host	gene-PA2418			0.1944940297500798
dsdA	1.0	0.8344980964365827	host	dsdA			0.09590233735925821
tolB	1.0	0.6946519715698289	host	tolB			7.107489488346939
gene-PA1622	1.0	0.7917239257842532	host	gene-PA1622			0.24419735541870022
gene-PA1036	1.0	0.9486660440947479	host	gene-PA1036			0.03414718159293021
clpX	1.0	0.5860042470305311	host	clpX			27.996921103742782
yrfI	1.0	0.6938310124926198	host	yrfI			0.9161642214536462
gene-PA4354	1.0	0.638568861920462	host	gene-PA4354			2.215275837038008
arnC	1.0	0.47964904885640625	host	arnC			1.0101453043349702
gene-JG005_00153	1.0	0.6480199355794836	phage	gene-JG005_00153			35.16936292485374
nusG	1.0	0.7145604591128262	host	nusG			20.296683345226004
gene-PA1659	0.9879107286027202	1.0	host	gene-PA1659			0.2688313553129603
gene-PA1351	1.0	0.7010272911572223	host	gene-PA1351			0.06591141710146382
gene-PA2366	0.7245828969045907	1.0	host	gene-PA2366			0.12204928764257586
nadC	1.0	0.8903510442115842	host	nadC			0.20573401382760784
gene-PA5189	1.0	0.7869970356675261	host	gene-PA5189			0.06569331437833903
xphA	1.0	0.8234051538967937	host	xphA			0.31006542027074524
wapR	1.0	0.6856181906659295	host	wapR			6.219112061150249
prs	1.0	0.9309217380910211	host	prs			16.17072949266286
parR	1.0	0.9104948624545679	host	parR			1.0178066112137982
gene-PA3941	1.0	0.6118587726628061	host	gene-PA3941			1.0426697654832342
gene-PA4399	1.0	0.5895129277169516	host	gene-PA4399			2.401088271769315
gene-PA1134	0.31726946465945677	1.0	host	gene-PA1134			9.66472862699232
pelB	1.0	0.3096628501987428	host	pelB			1.1281734977502147
purU1	1.0	0.7158728045701427	host	purU1			2.977044094933174
gene-PA0158	1.0	0.6916084799251682	host	gene-PA0158			1.5457540436096613
gene-PA4177	0.5663562420315255	1.0	host	gene-PA4177			0.48678670491403664
pyrH	1.0	0.9606831266376367	host	pyrH			2.967332552446803
gene-PA4990	1.0	0.6780608616663437	host	gene-PA4990			0.17813620539443145
gene-PA3485	1.0	0.5940852217448443	host	gene-PA3485			2.985700346678102
gene-PA3618	0.8901808738752217	1.0	host	gene-PA3618			0.17559441260441308
thiE	1.0	0.9098647128023908	host	thiE			0.40486202302646435
lipH	1.0	0.7108525941861124	host	lipH			0.101864731127277
gene-PA2943	1.0	0.5524830588017932	host	gene-PA2943			0.33432484897081366
ercS	1.0	0.48500151557679416	host	ercS			0.6307135009374388
gene-PA2845	1.0	0.8533990513218911	host	gene-PA2845			0.6629242511575584
lptF	0.7174849962058131	1.0	host	lptF			0.7240121985542068
gene-PA2697	0.6813633260663179	1.0	host	gene-PA2697			0.15095465362353822
gene-PA2655	1.0	0.9183736346915297	host	gene-PA2655			0.45919507628441564
gene-PA4379	0.7779615597520626	1.0	host	gene-PA4379			2.1614796616641834
gene-PA0312	0.8663516654025336	1.0	host	gene-PA0312			0.38084439108362206
clpV1	1.0	0.9510035429533172	host	clpV1			0.9409949366480684
gene-PA4504	1.0	0.2209368029773929	host	gene-PA4504			9.155916662194215
cysK	1.0	0.7246667023352374	host	cysK			0.40080773851383095
gene-PA3694	1.0	0.7839382311533022	host	gene-PA3694			2.342738468133427
gene-PA2928	0.9433331635880571	1.0	host	gene-PA2928			0.07488642030741594
miaA	1.0	0.6560009334171845	host	miaA			4.972285651183579
pcaC	1.0	0.7630931336518421	host	pcaC			0.16244938018171443
gene-PA1683	1.0	0.7302648162018238	host	gene-PA1683			1.5573248197343152
lasA	1.0	0.6745644510658536	host	lasA			0.41189134708061653
gene-PA4715	1.0	0.9781245795477604	host	gene-PA4715			0.592083699125315
gene-PA1016	1.0	0.6142478692074675	host	gene-PA1016			0.36858888692667313
gltR	1.0	0.7179044121803866	host	gltR			1.4245005236555446
gene-PA2114	1.0	0.9117541671605686	host	gene-PA2114			0.16047132267194786
gene-PA5133	1.0	0.6686015281542037	host	gene-PA5133			3.7606354814532836
gene-PA1171	1.0	0.6277065827596024	host	gene-PA1171			0.46935364537184077
gene-PA4471	1.0	0.9723178348836713	host	gene-PA4471			0.2237278054702264
gene-PA0926	1.0	0.7138335963530967	host	gene-PA0926			1.2658128062038458
rpmE	1.0	0.6344867732535782	host	rpmE			71.80252510088908
gene-PA1640	1.0	0.5580852822180504	host	gene-PA1640			2.316589471646483
dsbG	1.0	0.6638019982021094	host	dsbG			0.5206672046364507
pyrC	1.0	0.45767213990386935	host	pyrC			4.4756386900077345
gene-PA2910	1.0	0.870646230657355	host	gene-PA2910			0.2889337156319003
rpsF	1.0	0.4037806285803862	host	rpsF			62.939854512175536
ftsZ	1.0	0.653930648400766	host	ftsZ			3.653583398057418
gene-JG005_00071	0.5421923056470609	1.0	phage	gene-JG005_00071			845.5035677331459
gcvH2	0.8067988290065609	1.0	host	gcvH2			0.5259115802693364
galU	0.9166568633121613	1.0	host	galU			1.1821506839969862
tyrS	0.8021773214761285	1.0	host	tyrS			0.7079731680992127
gene-PA0279	0.8648820055546091	1.0	host	gene-PA0279			0.08754700941146451
gene-PA4573	1.0	0.8731534348379202	host	gene-PA4573			1.004445422625007
glcC	0.8316955332496857	1.0	host	glcC			0.0631631845252398
gene-PA2927	1.0	0.7837295269653474	host	gene-PA2927			0.2577247679643599
gene-PA2750	0.65997962662772	1.0	host	gene-PA2750			0.2916383360568191
gene-PA0653	1.0	0.699134229214247	host	gene-PA0653			2.390380240958175
