Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol
gene-PA3199	90	58	90	112	host	gene-PA3199
aph	46	28	44	32	host	aph
stk1	44	35	72	85	host	stk1
gene-PA1306	178	160	210	263	host	gene-PA1306
rph	318	158	270	407	host	rph
gene-PA1662	131	94	158	251	host	gene-PA1662
gene-PA1413	42	21	35	32	host	gene-PA1413
gene-PA3908	131	135	225	269	host	gene-PA3908
gene-PA0671	10	4	20	26	host	gene-PA0671
gene-PA0098	41	20	25	56	host	gene-PA0098
gene-PA2418	27	25	50	83	host	gene-PA2418
dsdA	46	38	68	72	host	dsdA
tolB	1171	823	1208	1577	host	tolB
gene-PA1622	22	15	35	23	host	gene-PA1622
gene-PA1036	26	29	44	61	host	gene-PA1036
clpX	2942	2028	2501	3363	host	clpX
yrfI	156	139	189	219	host	yrfI
gene-PA4354	52	33	39	72	host	gene-PA4354
arnC	65	60	63	55	host	arnC
gene-JG005_00153	1306	1254	1509	1793	phage	gene-JG005_00153
nusG	1297	877	1263	1878	host	nusG
gene-PA1659	21	16	28	49	host	gene-PA1659
gene-PA1351	3	7	7	7	host	gene-PA1351
gene-PA2366	25	28	60	88	host	gene-PA2366
nadC	72	57	107	123	host	nadC
gene-PA5189	24	23	35	39	host	gene-PA5189
xphA	9	5	16	7	host	xphA
wapR	467	268	414	608	host	wapR
prs	3817	2609	5403	6601	host	prs
parR	143	92	204	225	host	parR
gene-PA3941	64	51	57	85	host	gene-PA3941
gene-PA4399	85	46	63	94	host	gene-PA4399
gene-PA1134	49	35	309	216	host	gene-PA1134
pelB	127	82	56	74	host	pelB
purU1	438	343	529	586	host	purU1
gene-PA0158	412	235	384	521	host	gene-PA0158
gene-PA4177	3	0	3	11	host	gene-PA4177
pyrH	671	480	983	1237	host	pyrH
gene-PA4990	10	9	12	14	host	gene-PA4990
gene-PA3485	45	14	23	50	host	gene-PA3485
gene-PA3618	25	30	48	77	host	gene-PA3618
thiE	99	83	135	199	host	thiE
lipH	7	5	11	6	host	lipH
gene-PA2943	28	22	21	35	host	gene-PA2943
ercS	61	43	40	62	host	ercS
gene-PA2845	12	5	14	16	host	gene-PA2845
lptF	34	20	52	104	host	lptF
gene-PA2697	1	1	2	6	host	gene-PA2697
gene-PA2655	11	16	15	36	host	gene-PA2655
gene-PA4379	199	120	362	466	host	gene-PA4379
gene-PA0312	53	42	91	131	host	gene-PA0312
clpV1	485	301	693	808	host	clpV1
gene-PA4504	207	150	74	83	host	gene-PA4504
cysK	68	57	72	111	host	cysK
gene-PA3694	39	13	34	50	host	gene-PA3694
gene-PA2928	14	11	19	36	host	gene-PA2928
miaA	605	464	614	793	host	miaA
pcaC	12	11	13	23	host	pcaC
gene-PA1683	225	198	284	332	host	gene-PA1683
lasA	41	23	35	53	host	lasA
gene-PA4715	225	159	346	407	host	gene-PA4715
gene-PA1016	32	19	30	33	host	gene-PA1016
gltR	121	81	116	178	host	gltR
gene-PA2114	87	112	187	169	host	gene-PA2114
gene-PA5133	513	342	504	646	host	gene-PA5133
gene-PA1171	58	42	57	69	host	gene-PA1171
gene-PA4471	5	3	11	5	host	gene-PA4471
gene-PA0926	72	55	69	115	host	gene-PA0926
rpmE	1226	720	1120	1365	host	rpmE
gene-PA1640	157	96	122	163	host	gene-PA1640
dsbG	22	10	15	29	host	dsbG
pyrC	218	128	141	178	host	pyrC
gene-PA2910	12	5	12	19	host	gene-PA2910
rpsF	1181	862	669	996	host	rpsF
ftsZ	532	430	500	769	host	ftsZ
gene-JG005_00071	3009	2508	10032	10161	phage	gene-JG005_00071
gcvH2	57	46	114	143	host	gcvH2
galU	185	115	285	376	host	galU
tyrS	39	9	48	77	host	tyrS
