# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR2932968_sorted.bam" "SRR2932965_sorted.bam" "SRR2932967_sorted.bam" "SRR2932971_sorted.bam" "SRR2932970_sorted.bam" "SRR2932969_sorted.bam" "SRR2932964_sorted.bam" "SRR2932966_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2932968_sorted.bam	SRR2932965_sorted.bam	SRR2932967_sorted.bam	SRR2932971_sorted.bam	SRR2932970_sorted.bam	SRR2932969_sorted.bam	SRR2932964_sorted.bam	SRR2932966_sorted.bam
gene-Syncc8109_0001	CP006882.1	1	1071	+	1071	15	574	127	45	45	160	1654	510
gene-Syncc8109_0002	CP006882.1	1079	1147	-	69	4	64	16	4	7	21	205	55
gene-Syncc8109_0003	CP006882.1	1160	1828	+	669	4	168	57	15	13	46	561	137
gene-Syncc8109_0004	CP006882.1	1905	4175	+	2271	20	1099	231	103	91	267	3531	741
gene-Syncc8109_0005	CP006882.1	4255	5694	+	1440	45	1198	281	84	79	290	3362	1055
gene-Syncc8109_0006	CP006882.1	5702	8170	-	2469	32	1162	251	106	89	264	3472	1021
gene-Syncc8109_0007	CP006882.1	8216	9079	-	864	2	164	37	24	13	41	536	123
gene-Syncc8109_0008	CP006882.1	9117	10082	-	966	0	144	32	13	12	18	455	94
gene-Syncc8109_0009	CP006882.1	10119	10766	+	648	3	171	41	12	26	57	514	114
gene-Syncc8109_0010	CP006882.1	10817	11551	+	735	39	1304	279	98	84	283	3730	1212
gene-Syncc8109_0011	CP006882.1	11555	12190	+	636	12	582	99	35	26	126	1775	395
gene-Syncc8109_0012	CP006882.1	12190	13704	+	1515	7	584	107	31	38	133	2061	332
gene-Syncc8109_0013	CP006882.1	13809	15152	+	1344	4	171	49	13	11	67	600	119
gene-Syncc8109_0014	CP006882.1	15181	16599	+	1419	12	685	145	57	48	168	2013	529
gene-Syncc8109_0015	CP006882.1	16726	17298	+	573	20	460	148	51	58	152	2012	286
gene-Syncc8109_0016	CP006882.1	17312	18307	-	996	7	286	45	27	24	89	1276	173
gene-Syncc8109_0017	CP006882.1	18348	18851	+	504	8	218	41	21	11	44	600	153
gene-Syncc8109_0018	CP006882.1	18823	20091	+	1269	2	217	41	11	10	55	746	140
gene-Syncc8109_0019	CP006882.1	20079	20270	-	192	4	118	21	5	5	25	293	73
gene-Syncc8109_0020	CP006882.1	20455	20805	-	351	0	16	7	2	0	4	50	22
gene-Syncc8109_0021	CP006882.1	20828	20980	-	153	2	6	1	1	0	3	18	5
gene-Syncc8109_0022	CP006882.1	21071	21748	+	678	5	186	54	21	28	84	532	167
gene-Syncc8109_0023	CP006882.1	21748	22884	+	1137	12	255	112	24	26	118	872	259
gene-Syncc8109_0024	CP006882.1	22881	23108	+	228	0	53	19	2	8	26	134	60
gene-Syncc8109_0025	CP006882.1	23101	24015	+	915	5	203	53	17	15	60	586	132
gene-Syncc8109_0026	CP006882.1	23990	24331	-	342	5	156	39	24	16	45	513	124
gene-Syncc8109_0027	CP006882.1	24356	25258	-	903	4	128	28	10	19	33	452	82
gene-Syncc8109_0028	CP006882.1	25255	26604	-	1350	3	247	45	22	24	64	741	142
gene-Syncc8109_0029	CP006882.1	26674	26826	-	153	0	48	8	5	6	8	124	30
gene-Syncc8109_0030	CP006882.1	26801	27850	+	1050	35	1171	252	84	91	304	3427	680
gene-Syncc8109_0031	CP006882.1	27930	28916	-	987	5	136	26	11	18	38	545	107
gene-Syncc8109_0032	CP006882.1	28913	30022	-	1110	36	1495	269	102	113	283	4572	740
gene-Syncc8109_0033	CP006882.1	30055	30618	+	564	58	2201	411	145	153	544	6870	1303
gene-Syncc8109_0034	CP006882.1	30615	31091	+	477	26	1071	200	72	100	312	3213	654
gene-Syncc8109_0035	CP006882.1	31093	32232	-	1140	7	412	66	21	18	81	1372	184
gene-Syncc8109_0036	CP006882.1	32090	32275	+	186	3	74	11	6	3	7	191	21
gene-Syncc8109_0037	CP006882.1	32229	33182	-	954	6	155	39	10	15	52	566	113
gene-Syncc8109_0038	CP006882.1	33257	33382	+	126	2	20	3	3	3	6	53	14
gene-Syncc8109_0039	CP006882.1	33386	33601	-	216	2	31	9	2	4	11	66	21
gene-Syncc8109_0040	CP006882.1	34003	35547	+	1545	4	195	49	20	12	55	636	129
gene-Syncc8109_0041	CP006882.1	35502	35756	-	255	0	60	9	6	1	15	166	30
gene-Syncc8109_0042	CP006882.1	35529	35879	+	351	0	86	11	7	2	17	226	36
gene-Syncc8109_0043	CP006882.1	35884	36294	-	411	2	131	16	7	8	26	405	48
gene-Syncc8109_0044	CP006882.1	36328	36825	-	498	3	123	34	10	11	27	433	91
gene-Syncc8109_0045	CP006882.1	36855	37199	-	345	2	51	12	17	9	19	181	62
gene-Syncc8109_0046	CP006882.1	36936	37247	+	312	2	51	12	17	9	18	185	60
gene-Syncc8109_0047	CP006882.1	37340	37504	+	165	5	252	55	15	14	40	636	156
gene-Syncc8109_0048	CP006882.1	37697	37834	+	138	1	105	14	5	2	17	357	40
gene-Syncc8109_0049	CP006882.1	37857	37928	-	72	1	24	6	5	5	8	131	36
gene-Syncc8109_0050	CP006882.1	37959	39107	-	1149	12	951	214	57	70	299	3401	558
gene-Syncc8109_0051	CP006882.1	39179	40252	+	1074	0	71	15	4	6	17	261	69
