# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR2932976_sorted.bam" "SRR2932978_sorted.bam" "SRR2932974_sorted.bam" "SRR2932979_sorted.bam" "SRR2932973_sorted.bam" "SRR2932975_sorted.bam" "SRR2932977_sorted.bam" "SRR2932972_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2932976_sorted.bam	SRR2932978_sorted.bam	SRR2932974_sorted.bam	SRR2932979_sorted.bam	SRR2932973_sorted.bam	SRR2932975_sorted.bam	SRR2932977_sorted.bam	SRR2932972_sorted.bam
gene-SynWH7803_0001	CT971583.1	174	1343	+	1170	17	23	88	18	345	67	56	617
gene-SynWH7803_0002	CT971583.1	1347	2096	+	750	8	4	30	3	106	25	14	203
gene-SynWH7803_0003	CT971583.1	2187	4484	+	2298	30	61	165	34	806	143	79	1309
gene-SynWH7803_0004	CT971583.1	4523	5989	+	1467	66	108	400	58	1700	330	216	2764
gene-SynWH7803_0005	CT971583.1	5992	8457	-	2466	19	32	108	19	459	84	61	801
gene-SynWH7803_0006	CT971583.1	8547	9443	-	897	6	27	41	15	176	59	23	338
gene-SynWH7803_0007	CT971583.1	9459	10421	-	963	5	1	8	1	75	14	6	114
gene-SynWH7803_0008	CT971583.1	10463	11122	+	660	28	90	157	21	525	107	106	1252
gene-SynWH7803_0009	CT971583.1	11139	11909	+	771	40	70	231	39	980	175	137	1796
gene-SynWH7803_0010	CT971583.1	11928	12560	+	633	8	14	51	6	250	39	23	403
gene-SynWH7803_0011	CT971583.1	12566	14032	+	1467	19	23	70	18	316	85	35	690
gene-SynWH7803_0012	CT971583.1	14107	15519	+	1413	5	10	29	3	106	31	15	174
gene-SynWH7803_0013	CT971583.1	15551	16963	+	1413	21	45	90	25	436	103	63	655
gene-SynWH7803_0014	CT971583.1	17083	17706	+	624	23	34	113	21	458	110	59	776
gene-SynWH7803_0015	CT971583.1	17725	18729	-	1005	8	6	41	8	125	33	18	230
gene-SynWH7803_0016	CT971583.1	18790	19308	+	519	10	12	40	8	208	50	21	293
gene-SynWH7803_0017	CT971583.1	19343	20539	+	1197	2	6	17	5	68	37	15	114
gene-SynWH7803_0018	CT971583.1	20602	23637	-	3036	3	3	68	6	116	58	37	234
gene-SynWH7803_0019	CT971583.1	24364	25599	-	1236	2	5	23	0	79	23	11	143
gene-SynWH7803_0020	CT971583.1	25800	26873	-	1074	5	4	16	2	68	22	12	164
gene-SynWH7803_0021	CT971583.1	26884	28569	-	1686	1	4	14	1	62	35	10	156
gene-SynWH7803_0022	CT971583.1	28665	29387	+	723	30	21	108	19	589	120	46	927
gene-SynWH7803_0023	CT971583.1	29438	30568	+	1131	22	39	103	19	390	115	53	709
gene-SynWH7803_0024	CT971583.1	30571	30813	+	243	1	4	13	4	41	15	8	75
gene-SynWH7803_0025	CT971583.1	30806	31714	+	909	6	16	53	8	143	39	19	356
gene-SynWH7803_0026	CT971583.1	31689	32030	-	342	17	34	108	14	362	66	56	717
gene-SynWH7803_0027	CT971583.1	32055	32987	-	933	0	6	25	1	97	24	8	175
gene-SynWH7803_0028	CT971583.1	32963	34423	-	1461	20	41	87	19	347	102	48	697
gene-SynWH7803_0029	CT971583.1	34586	35611	+	1026	39	155	271	69	760	181	197	1837
gene-SynWH7803_0030	CT971583.1	35675	36661	-	987	7	7	29	10	109	22	15	185
gene-SynWH7803_0031	CT971583.1	36668	37786	-	1119	30	53	168	37	943	158	98	1607
gene-SynWH7803_0032	CT971583.1	37819	38382	+	564	56	113	302	65	1368	274	190	2252
gene-SynWH7803_0033	CT971583.1	38385	38864	+	480	23	62	146	29	665	141	88	1111
gene-SynWH7803_0034	CT971583.1	38851	39879	-	1029	8	11	42	7	194	48	18	381
gene-SynWH7803_0035	CT971583.1	39878	40069	+	192	1	1	14	2	46	5	6	118
gene-SynWH7803_0036	CT971583.1	40035	40961	-	927	0	4	22	4	108	28	14	170
gene-SynWH7803_0037	CT971583.1	41034	41228	+	195	0	2	6	1	19	6	6	27
gene-SynWH7803_0038	CT971583.1	41229	41663	-	435	3	1	17	4	40	25	10	68
gene-SynWH7803_0039	CT971583.1	41916	43424	+	1509	3	2	16	2	61	15	7	111
gene-SynWH7803_0040	CT971583.1	43379	43771	-	393	3	4	13	7	32	8	9	50
gene-SynWH7803_0041	CT971583.1	43771	44175	-	405	5	12	31	8	59	18	23	125
gene-SynWH7803_0042	CT971583.1	44239	44757	-	519	6	15	21	14	124	39	19	224
gene-SynWH7803_0043	CT971583.1	44887	45156	+	270	5	9	18	2	51	15	10	78
gene-SynWH7803_0044	CT971583.1	45279	45440	+	162	17	22	77	15	349	46	48	702
gene-SynWH7803_0045	CT971583.1	45605	45781	+	177	7	16	75	11	287	55	37	685
gene-RNA_1	CT971583.1	45805	45876	-	72	3	6	19	4	48	10	14	83
gene-SynWH7803_0046	CT971583.1	45936	47066	-	1131	34	49	177	48	912	174	112	1552
gene-SynWH7803_0047	CT971583.1	47188	48285	+	1098	3	3	13	4	56	13	8	83
gene-SynWH7803_0048	CT971583.1	48299	49918	+	1620	46	99	310	61	1408	336	175	2325
gene-SynWH7803_0049	CT971583.1	49961	50593	+	633	4	25	50	10	144	35	37	262
gene-SynWH7803_0050	CT971583.1	50612	50989	+	378	7	11	26	6	166	30	13	273
gene-SynWH7803_0051	CT971583.1	50994	52808	+	1815	5	7	41	5	226	44	27	374
gene-SynWH7803_0052	CT971583.1	52818	53966	-	1149	15	12	118	15	554	110	43	943
gene-SynWH7803_0053	CT971583.1	53980	55173	-	1194	60	131	305	77	1661	313	204	2702
gene-SynWH7803_0054	CT971583.1	55232	55399	-	168	3	7	30	11	76	38	25	109
gene-SynWH7803_0055	CT971583.1	55500	56312	-	813	6	11	41	5	146	37	12	307
gene-SynWH7803_0056	CT971583.1	56426	56929	+	504	16	34	106	25	385	75	68	737
gene-SynWH7803_0057	CT971583.1	56897	57490	-	594	18	33	124	34	471	131	69	959
gene-SynWH7803_0058	CT971583.1	57525	57872	-	348	31	62	240	42	1013	239	113	1742
gene-SynWH7803_0059	CT971583.1	57916	58113	-	198	26	36	156	31	1222	157	97	1847
gene-SynWH7803_0060	CT971583.1	58173	59750	+	1578	3	7	22	3	43	24	7	79
gene-SynWH7803_0061	CT971583.1	59781	61115	+	1335	19	16	58	10	266	61	27	501
gene-SynWH7803_0062	CT971583.1	61131	62996	-	1866	3	3	26	5	114	37	14	214
gene-SynWH7803_0063	CT971583.1	63024	63698	-	675	1	2	6	4	25	6	2	36
gene-SynWH7803_0064	CT971583.1	63703	65058	-	1356	9	34	55	16	192	58	23	294
gene-SynWH7803_0065	CT971583.1	65425	66303	+	879	4	3	13	5	47	28	8	109
gene-SynWH7803_0066	CT971583.1	66313	67197	+	885	6	8	26	1	86	25	18	102
gene-SynWH7803_0067	CT971583.1	67241	68863	+	1623	3	4	13	3	44	22	7	79
gene-SynWH7803_0068	CT971583.1	68830	70071	-	1242	1	3	11	4	36	11	5	43
gene-SynWH7803_0069	CT971583.1	70114	70749	+	636	6	6	35	7	145	31	26	341
gene-SynWH7803_0070	CT971583.1	70751	71440	-	690	17	43	99	20	370	93	65	808
gene-SynWH7803_0071	CT971583.1	71487	72932	-	1446	40	75	195	60	973	218	120	1680
gene-SynWH7803_0072	CT971583.1	73098	74126	+	1029	21	16	78	9	505	65	49	923
gene-SynWH7803_0073	CT971583.1	74133	75041	+	909	7	9	61	10	219	67	37	506
gene-SynWH7803_0074	CT971583.1	75108	77150	+	2043	37	64	221	33	872	291	137	1577
gene-SynWH7803_0075	CT971583.1	77153	77818	-	666	3	3	10	1	43	20	4	73
gene-SynWH7803_0076	CT971583.1	77824	78876	-	1053	1	2	5	0	24	10	3	45
gene-SynWH7803_0077	CT971583.1	78916	79692	+	777	29	27	71	21	504	135	38	855
gene-SynWH7803_0078	CT971583.1	79755	80141	+	387	6	6	24	4	110	28	13	169
gene-SynWH7803_0079	CT971583.1	80134	80676	+	543	0	1	1	1	18	10	3	25
gene-SynWH7803_0080	CT971583.1	80713	82749	+	2037	5	13	41	15	133	42	32	301
gene-SynWH7803_0081	CT971583.1	82767	84569	-	1803	9	2	25	12	86	36	19	135
gene-SynWH7803_0082	CT971583.1	84625	85605	-	981	0	2	4	2	20	9	5	34
gene-SynWH7803_0083	CT971583.1	85674	86309	+	636	1	5	6	2	16	10	0	29
gene-SynWH7803_0084	CT971583.1	86294	89026	-	2733	7	7	18	2	71	35	16	104
gene-SynWH7803_0085	CT971583.1	89122	90003	-	882	16	17	112	16	502	90	85	1019
gene-SynWH7803_0086	CT971583.1	90026	90940	-	915	4	6	28	7	115	32	16	188
gene-SynWH7803_0087	CT971583.1	91067	91255	+	189	24	62	98	51	418	106	68	624
gene-SynWH7803_0088	CT971583.1	91288	91773	+	486	21	41	118	27	572	116	77	954
gene-SynWH7803_0089	CT971583.1	91897	93081	+	1185	18	9	133	10	324	95	91	732
gene-SynWH7803_0090	CT971583.1	93071	93910	-	840	48	35	197	21	348	124	228	718
gene-SynWH7803_0091	CT971583.1	93911	94438	-	528	28	22	137	15	351	80	94	720
gene-SynWH7803_0092	CT971583.1	94448	95503	-	1056	18	38	206	31	632	116	150	1358
gene-SynWH7803_0093	CT971583.1	95561	96175	-	615	23	15	123	16	318	63	107	1038
gene-SynWH7803_0094	CT971583.1	96399	97148	-	750	61	15	143	18	422	133	186	621
gene-SynWH7803_0095	CT971583.1	97155	98078	-	924	88	48	271	19	834	182	274	1764
gene-SynWH7803_0096	CT971583.1	98537	99292	-	756	17	11	96	16	300	66	76	575
gene-SynWH7803_0097	CT971583.1	100017	100739	-	723	19	19	133	9	363	67	100	718
gene-RNA_2	CT971583.1	100928	100999	+	72	19	13	36	49	108	102	588	187
gene-SynWH7803_0098	CT971583.1	101009	101464	-	456	5	6	24	4	102	33	28	191
gene-SynWH7803_0099	CT971583.1	101493	102401	-	909	0	0	5	1	13	6	3	17
gene-SynWH7803_0100	CT971583.1	102513	102677	+	165	0	0	1	0	5	1	0	8
gene-SynWH7803_0101	CT971583.1	102623	102820	+	198	1	0	1	0	11	1	0	11
gene-SynWH7803_0102	CT971583.1	102879	103820	+	942	7	18	36	18	105	44	20	247
gene-SynWH7803_0103	CT971583.1	103810	104427	+	618	1	3	20	1	51	18	9	112
gene-SynWH7803_0104	CT971583.1	104424	105311	+	888	2	3	8	1	47	17	4	85
gene-SynWH7803_0105	CT971583.1	105304	106653	+	1350	2	8	35	7	96	26	18	178
gene-SynWH7803_0106	CT971583.1	106766	108073	+	1308	36	47	149	27	345	119	85	707
gene-SynWH7803_0107	CT971583.1	108146	109177	+	1032	13	23	45	13	234	59	32	356
gene-SynWH7803_0108	CT971583.1	109338	109940	+	603	4	4	49	9	162	40	25	226
gene-SynWH7803_0109	CT971583.1	110048	111349	-	1302	9	3	26	3	92	25	11	160
gene-SynWH7803_0110	CT971583.1	111312	111599	-	288	2	2	13	2	52	8	5	113
