# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13084800_sorted.bam" "SRR13084797_sorted.bam" "SRR13084802_sorted.bam" "SRR13084812_sorted.bam" "SRR13084807_sorted.bam" "SRR13084801_sorted.bam" "SRR13084804_sorted.bam" "SRR13084811_sorted.bam" "SRR13084799_sorted.bam" "SRR13084805_sorted.bam" "SRR13084813_sorted.bam" "SRR13084814_sorted.bam" "SRR13084810_sorted.bam" "SRR13084815_sorted.bam" "SRR13084796_sorted.bam" "SRR13084795_sorted.bam" "SRR13084798_sorted.bam" "SRR13084809_sorted.bam" "SRR13084794_sorted.bam" "SRR13084808_sorted.bam" "SRR13084793_sorted.bam" "SRR13084806_sorted.bam" "SRR13084803_sorted.bam" "SRR13084816_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13084800_sorted.bam	SRR13084797_sorted.bam	SRR13084802_sorted.bam	SRR13084812_sorted.bam	SRR13084807_sorted.bam	SRR13084801_sorted.bam	SRR13084804_sorted.bam	SRR13084811_sorted.bam	SRR13084799_sorted.bam	SRR13084805_sorted.bam	SRR13084813_sorted.bam	SRR13084814_sorted.bam	SRR13084810_sorted.bam	SRR13084815_sorted.bam	SRR13084796_sorted.bam	SRR13084795_sorted.bam	SRR13084798_sorted.bam	SRR13084809_sorted.bam	SRR13084794_sorted.bam	SRR13084808_sorted.bam	SRR13084793_sorted.bam	SRR13084806_sorted.bam	SRR13084803_sorted.bam	SRR13084816_sorted.bam
gene-b0001	U00096.3	190	255	+	66	4119	503	1995	669	394	2190	220	41	210	277	410	178	20	54	935	1927	164	54	19385	147	21	1056	479	44
gene-b0002	U00096.3	337	2799	+	2463	6260	427	2005	4178	5660	12170	499	307	600	250	5304	2867	269	745	1129	5542	477	504	3871	2668	361	4723	683	414
gene-b0003	U00096.3	2801	3733	+	933	2668	271	1609	1766	2452	6018	318	140	240	127	2378	1737	141	448	916	2629	305	265	1543	1586	170	1827	410	170
gene-b0004	U00096.3	3734	5020	+	1287	3273	332	1672	2346	3208	6931	278	171	277	114	3106	2414	167	599	1195	3543	315	380	1636	2273	234	2467	370	283
gene-b0005	U00096.3	5234	5530	+	297	246	82	244	59	136	381	76	5	69	27	123	97	5	36	152	233	50	21	228	76	9	71	115	20
gene-b0006	U00096.3	5683	6459	-	777	1182	71	272	463	153	930	95	21	136	30	168	75	8	35	125	616	77	18	912	64	12	603	134	22
gene-b0007	U00096.3	6529	7959	-	1431	260	116	459	36	32	392	233	5	341	70	41	15	3	14	126	173	117	9	294	15	4	34	293	6
gene-b0008	U00096.3	8238	9191	+	954	24621	661	2476	3421	3127	23983	680	236	488	236	2885	1343	198	561	1994	12909	778	361	12015	1367	261	3368	674	323
gene-b0009	U00096.3	9306	9893	+	588	855	85	292	161	186	1035	76	18	126	42	208	142	17	54	159	591	76	40	603	103	16	162	121	26
gene-b0010	U00096.3	9928	10494	-	567	453	52	264	50	86	463	63	7	91	29	96	47	14	32	92	306	55	15	338	51	8	56	117	10
gene-b0011	U00096.3	10643	11356	-	714	55	60	157	8	15	126	99	2	155	48	14	3	1	7	43	64	47	3	67	7	0	18	116	2
gene-b0012	U00096.3	10830	11315	+	486	34	32	98	3	10	66	46	0	83	24	9	2	0	2	24	38	28	2	43	6	0	11	68	0
gene-b0013	U00096.3	11382	11786	-	405	34	31	62	3	2	69	30	3	71	17	5	3	1	0	22	35	25	0	40	5	1	4	52	1
gene-b0014	U00096.3	12163	14079	+	1917	8984	365	1872	4254	53970	14547	615	290	639	312	4796	2268	232	730	1487	7642	750	541	4128	131665	367	3952	546	385
gene-b0015	U00096.3	14168	15298	+	1131	1879	161	761	877	1507	3030	272	105	310	112	1454	1043	89	330	301	976	193	195	641	883	119	785	292	145
gene-b0016	U00096.3	15445	16557	+	1113	745	119	432	117	300	1086	164	15	183	59	339	182	28	41	186	534	85	58	662	142	21	132	211	27
gene-b0018	U00096.3	16751	16960	-	210	89	39	81	17	31	137	26	7	30	18	35	24	7	19	55	79	40	18	79	21	4	25	64	5
gene-b4412	U00096.3	16751	16903	-	153	83	31	71	14	30	119	24	6	23	16	34	23	5	18	48	75	36	14	66	20	4	24	55	4
gene-b4413	U00096.3	16952	17010	+	59	80	39	92	9	4	87	40	3	36	32	8	5	3	9	55	47	22	8	358	3	1	12	65	8
gene-b0019	U00096.3	17489	18655	+	1167	1203	366	1316	301	1219	8820	337	84	351	154	1113	480	65	159	746	4385	407	112	778	434	41	316	460	75
gene-b0020	U00096.3	18715	19620	+	906	597	203	556	117	367	1929	159	16	156	89	372	198	15	53	277	897	136	45	421	172	13	112	262	38
gene-b0021	U00096.3	19811	20314	-	504	518	64	224	25	118	624	100	6	129	49	133	73	7	40	86	302	71	19	391	71	6	41	121	12
gene-b0022	U00096.3	20233	20508	-	276	217	38	213	15	73	331	52	10	97	27	78	61	5	10	99	180	46	8	248	60	1	14	83	7
