Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SERP1638	51.055449252017716	45.83172669376004	123.2439813214589	36.907647442595724	34.0198161616723	108.3811408966274	23.663067952241178	15.48018699853923	80.28481331875727	35.35964143495427	15.387987634699202	93.54234396641921	host	gene-SERP1638	None	None	22.61389731949731
gene-SERP0401	94.622260189376	58.46797702476102	108.03452884618399	58.751871322769034	37.66626559858339	66.96529001397866	11.068900048100053	3.9917463329566565	12.471133826404456	18.484026272856763	3.6565931787130457	13.337427960338397	host	gene-SERP0401	None	None	29.576270493017027
gene-SERP1878	34.503712359400105	31.831078669061352	29.823711095614865	22.82337222076577	22.747799654717888	22.859854856522105	3.927773184939574	1.299571254198355	4.514111482213118	9.16877249146715	1.111706468350468	3.162239274140363	host	sarY	None	None	9.845189651846635
gene-SERP1545	2.8502441459327255	1.2429312062343458	1.9287971547158784	2.159558215476916	0.6494056969365983	0.7470796546256139	0.8424487393733561	0.02319129138357937	0.48457445643117486	1.1321836959425586	0.21995169500827533	0.5606479962177938	host	gene-SERP1545	None	None	0.6137537623354967
gene-FDH45_gp015	0.031214732853323945	0.04013819933049956	0.03520569047779187	7.542596270676839	11.613946978138769	5.331752440795065	144.44054285564758	72.87371049312335	69.01578528186808	6812.103042598632	6522.752798627621	5933.633406453936	phage	gene-FDH45_gp015	late	late	4711.2795204088425
gene-SERP0330	251.18169974641248	256.37523770160533	263.42409516301944	188.14053143908188	225.9831426421799	173.73456117733917	29.501350755999777	12.802019677319558	35.37367681083003	29.87899917410781	4.3955254682205895	21.734568638651773	host	gene-SERP0330	None	None	89.04081449346981
gene-SERP0030	79.1139733625171	69.9794528387211	118.4151281091532	57.93524148740048	78.15549099520248	68.83573691541596	11.160491750609271	4.343694262276679	12.006189046722055	16.209190459489403	3.3307908918715845	8.490051596456322	host	gene-SERP0030	None	None	31.79137816409876
gene-SERP1018	196.79679844639944	261.6417563493598	170.18367343288054	133.61401491717095	168.26768564829518	111.47028068686177	20.100002318591617	10.989538157521542	21.639580573153864	20.475638473067274	3.280252575826117	9.619911473841531	host	gene-SERP1018	None	None	79.96685655708062
gene-SERP0166	74.85892697286272	69.98804920990015	77.32491764024007	51.02018262111409	52.07796971189911	67.05759101599728	11.667462645447364	5.313286891201674	11.53304686683398	15.278437187482977	2.1798269511846327	11.090792522559946	host	radA	None	None	22.52487686709133
gene-SERP2042	170.82542686199443	262.3154828399932	77.07608897603343	77.314667349135	84.78391007782328	67.4587677182892	10.79464073376889	7.1050089044577485	13.305944584996833	8.540568036843046	1.7316966141613062	10.043505706604144	host	gene-SERP2042	None	None	88.4496239586114
