Geneid	35_R1	35_R2	35_R3	35_R4	35_R5	60_R1	60_R2	60_R3	60_R4	60_R5	120_R1	120_R2	120_R3	120_R4	120_R5	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-R0792_RS04345	1.6845883517035891	5.134389526582275	1.7829511647151677	2.6138983365209723	3.4638769610817124	4.0466947010125605	2.837754361991137	11.741431842711656	4.9730588858694285	1.3710853730841526	4.614482834045344	4.2942393987122	1.577816493415695	4.121644887821359	5.108609599529906	host	gene-R0792_RS04345	None	None	1.5237708825615204
gene-DMS3-38	0.17801678326513104	0.217955566797937	0.19678498040189632	0.18285016532470652	0.2356701676717695	0.19899587803659127	0.13683669900863413	0.2380235842944268	0.2599950084191386	0.25221200072782557	0.2518527261072367	0.2921651463050767	0.22389967382756054	0.25272637377999285	0.30569591579516303	phage	gene-DMS3-38	early	late	0.008144266084525549
gene-R0792_RS10210	6.278700058405297	10.161441965579497	6.142882496329466	9.11779878443469	7.929982668955487	4.7597662719563045	6.712394829747862	9.746100816379908	10.013321270196553	3.5786837941110385	4.594610543848238	5.566930490407542	5.536978420330214	4.815461986889053	6.5683311637068815	host	gene-R0792_RS10210	None	None	0.6319755287387958
gene-R0792_RS13665	1960.30775186364	2512.1678604671574	2120.40329800025	2079.5599628112445	2296.0328243794393	2004.2353653773453	2091.793743946116	2323.677945391739	2132.5792406166515	1772.7495618129933	1936.8629925380937	1897.5724190386786	1677.7685833841733	1670.3590293447933	1804.7277230659397	host	amrZ	None	None	26.902650109327794
gene-R0792_RS08925	1.9836155849543173	4.6704764313843645	3.2047839665451683	4.231675254657493	7.8781170335991515	4.605333177418254	4.574255366860054	5.508545807956733	5.125615880263017	4.107452583281731	6.692086722278004	5.759827170014368	2.8787100920686353	4.982319940234145	4.978476342949798	host	gene-R0792_RS08925	None	None	0.4169757711836915
gene-R0792_RS04175	0.7371620099965779	1.440235022893857	0.8842320705283446	1.3049218846961435	1.183541811215054	1.981192442126415	1.3623389416718636	2.7472325588167323	2.1761696739927894	0.7777462577510039	1.841742402370101	2.0335723839736612	0.7693468968524106	1.3137318108387295	1.8045485778216672	host	gene-R0792_RS04175	None	None	0.22136627601345504
gene-R0792_RS02790	335.3596846418242	284.4411724682321	334.2698818356246	301.0113225807563	316.1148921325029	304.9820860194413	347.88718418548035	283.0280435097596	370.8533842778536	464.4515784831571	250.54055224012336	215.90758795015495	288.5107225606566	267.2953059155454	252.5202396862565	host	gene-R0792_RS02790	None	None	10.754736201608516
gene-R0792_RS12350	7.823115934840623	14.738508868336172	8.264969176879646	12.483230205681314	15.859965337910975	13.972737598353085	13.02537442995701	22.348484644292938	16.316443501330802	5.930390287384006	16.62227992307762	17.482530646471343	8.968089638174181	11.352195492495895	15.813567103566003	host	hisC	None	None	1.331872722536382
gene-R0792_RS02285	5.155741432950583	10.276587021016406	3.9486673167958766	7.681514358780915	6.219828807416387	11.388989790759771	7.993788050817406	12.963854525162686	9.842974124335756	3.2160146386052224	7.592924032557549	7.595331151061137	3.6960045004154143	5.92054206779489	7.161443035596736	host	gene-R0792_RS02285	None	None	1.0250206800384252
gene-R0792_RS23240	30.85836547118282	49.80616118563233	31.83058663316541	35.503679685766805	38.92984487086081	41.41534964360828	41.75600020911057	62.20974179859705	39.32017533408582	26.77327392341533	46.14446548819889	51.08447477613273	31.938747747781175	34.96575625786162	46.03485186339324	host	gene-R0792_RS23240	None	None	2.011379861042736
gene-R0792_RS06085	9.763475557933397	12.18438829368203	11.156928184019408	10.560201178003975	12.987814086228353	11.86085563804	12.568480944185115	10.978444614813428	10.89230189456391	10.832894304388985	14.212482032747587	13.089513382919073	11.392252126468387	12.858985097616376	12.726107507772205	host	gene-R0792_RS06085	None	None	0.11365405964847503
gene-R0792_RS27465	6.085690032552154	7.146915097327701	3.432296169800517	3.69952660075569	2.1374736137672117	4.859201672986531	2.768556468314225	7.472833460406423	4.172012925795479	2.6394279145935235	3.6899352894781194	3.057542228774058	5.77973576624633	1.939527984823201	2.772590864188688	host	gene-R0792_RS27465	None	None	0.7145191096597004
gene-R0792_RS21355	33.823188820374895	46.776617797403404	32.5452082972367	38.679842664841765	45.865040323813595	46.38134695775935	45.15611067284925	62.06922698139283	52.19899784415013	34.72765240790829	50.56427808768368	66.74849880969828	41.50755491726314	58.904685581029106	60.43373104565916	host	tis1	None	None	2.2446977682948064
gene-R0792_RS21600	1.5680627291864735	2.30940153756112	1.230952856131011	1.6573227750707442	1.835218752507822	2.108509516217499	1.869131080075385	3.372844832767835	1.7591151633465119	1.0625101307257332	2.218447417199915	2.498944442864698	2.200886155496446	1.9035135386833504	2.3024756210954833	host	gene-R0792_RS21600	None	None	0.14402448219501182
gene-R0792_RS20650	1.859151388366215	2.0084642674212625	1.6521878900637028	1.0858678759897247	1.592583385631753	1.7522503936327831	2.04554519337139	2.583327638417328	1.2245498690048162	1.6010727691254456	1.7019399238646031	1.7350421657707626	1.8798402649003374	2.018360800836803	3.1925921581337846	host	gene-R0792_RS20650	None	None	0.12952167530250827
