Geneid	35_R1	35_R2	35_R3	35_R4	35_R5	60_R1	60_R2	60_R3	60_R4	60_R5	120_R1	120_R2	120_R3	120_R4	120_R5	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-R0792_RS24585	24.99191717260886	44.914150070932216	50.18122045426437	39.21942924729776	55.475389340393	45.004650823246706	40.17499852355114	49.03610026027429	59.133962297652545	44.71347142980595	52.574890007243994	58.68572966360005	52.53444886317884	54.62472349871461	49.321908319396734	host	aroB	None	None	1.504275961920092
gene-R0792_RS14545	0.8983802918505577	2.8710788623308363	2.6192680539525544	1.9831487112238637	5.799610241413536	5.533940658348502	3.7292534343053125	6.178431142991924	9.550074578181478	2.8380033913435794	4.909314326624569	9.275006086419161	3.5895627177895597	7.9147326936944316	6.749764764444285	host	gene-R0792_RS14545	None	None	1.3062928578530724
gene-R0792_RS28890	4.09403367680876	15.082386544997211	14.254881156062588	7.7628854667603715	30.309133309514888	36.61063142925843	13.00437577857535	21.48943240903867	27.093619633465458	14.763395668303545	22.193564383015215	34.53757123439361	16.398565013373013	26.202576073895802	23.126622477493292	host	gene-R0792_RS28890	None	None	4.057037719630087
gene-R0792_RS01605	29.96089877244116	36.01794394121288	45.88994771290063	32.42050204819353	39.70255756551188	32.30947202479684	48.121896458005885	53.462562656141266	54.20904694717965	39.41833972398225	47.014404300468364	64.83036831996638	50.21806911718468	54.426210554749574	48.38922518045432	host	gene-R0792_RS01605	None	None	2.0358973426962206
gene-R0792_RS21865	9.261757602291155	26.512952173757252	22.948316917925613	17.414270283647035	23.840140389024434	17.482908050559413	16.46873314316455	23.671890577891247	26.676176304370042	17.59015895083763	24.0585119637275	29.939774718743852	24.255013886701683	25.42947422395539	22.894470107997304	host	rsmG	None	None	1.1807598169945244
gene-R0792_RS08635	0.08611303773104127	0.6254623020487908	0.07214552461475708	0.6522766743874759	0.3262405280080613	0.8431984162568932	0.23725392828868785	1.0874192059234442	0.8916327152103232	1.1725560689634427	1.2269612829634426	1.7339496329177493	1.256445322361391	0.41776216135998595	0.6054715947236933	host	antB	None	None	0.2912636720647898
gene-R0792_RS24625	6.080090472691014	14.920725817960546	18.677638185686497	16.395854030714673	34.92958495135786	27.863089185948425	15.215236737481076	29.405095765713966	48.96465033779151	32.093669801927874	33.62232320196807	42.88972951333929	38.669543052539716	43.04301565582186	46.9505490562637	host	gene-R0792_RS24625	None	None	5.4178737541517
gene-R0792_RS16295	3.4628824980968833	5.592772262852362	3.658039606266361	1.5314494688329774	4.8598013323571845	13.429066616268921	6.166915895788125	7.575728750336922	5.577510119027097	3.5261686133604258	4.113775118045748	7.367801489901328	2.6699205505189734	2.483413445355311	2.6313946736270655	host	narK2	None	None	1.632661836886584
gene-R0792_RS20125	0.7592762466607939	1.5441520919398106	1.399468025860449	1.2159799877674975	1.6798931618548432	1.9194921522766888	1.2551498141724131	1.976602520212871	2.6205692705106274	1.0752213071097032	2.621863376574127	3.4283500725138163	1.8066208009868006	3.094135233814606	2.47099375247605	host	gene-R0792_RS20125	None	None	0.2918458066954869
gene-R0792_RS17150	4.358808082682335	16.46278553046941	13.87687991972735	11.508599383725414	17.04183854453962	15.985754935366375	10.40792952904285	20.83135823541094	27.88156292995134	16.618448977407805	22.357961156222736	32.23472695808036	15.850540989789854	19.792642844877555	15.936610369764374	host	gene-R0792_RS17150	None	None	2.474679644514734
