Geneid	35_R1	35_R3	35_R4	35_R5	60_R1	60_R2	60_R3	60_R4	120_R1	120_R2	120_R3	120_R4	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-R0792_RS06650	0.5750490758465803	0.18368918828078035	0.2073493603133587	0.24232342477432145	0.6709027607035506	0.5039401825395358	0.2090679990607886	1.0575222535213318	0.6500550235384842	0.7915253968765914	0.19042096855100243	0.6430193641812604	host	gene-R0792_RS06650	None	None	0.1528725333512229
gene-R0792_RS24680	8.953452277697293	10.571016512674586	12.467716374970989	12.444480394861928	4.67467730038603	11.400969291001969	15.808238380596404	11.189267714677317	19.739305230889027	9.872789896525227	13.80859152589205	11.11801223229534	host	gene-R0792_RS24680	None	None	1.0494466609796196
gene-R0792_RS26500	174.36971977283403	198.09990137429187	188.94208806876637	203.9268872745967	281.00004661209357	271.41242863484155	254.92807627412293	309.64251583104596	370.5733024507127	418.94673264358426	372.5371258284257	397.75933314644675	host	gene-R0792_RS26500	None	None	24.085013902261462
gene-R0792_RS14915	261.0790857488545	284.62476686365835	294.4311839678022	345.95181859260407	249.90929344266223	303.36602609965803	287.25200817701256	297.44784501647575	359.9381590688592	333.7333353836592	340.81071715715274	341.4318678353229	host	gene-R0792_RS14915	None	None	3.74676756641605
gene-R0792_RS27150	79.7325471104506	75.35985352081599	71.02434128119761	84.38613362537065	71.34154108867459	65.20287431115499	64.0120673559983	68.2258911281683	59.084209070131536	70.24983819407689	65.22578047515327	69.14049797038106	host	gene-R0792_RS27150	None	None	0.6373556123345343
gene-R0792_RS06330	9.128801829940024	11.64531969174654	10.936720171293516	11.689433827804823	5.428300004099283	10.821452340848978	11.19866937785641	9.552900880173352	10.452662853597477	7.160884102610415	8.249588930568038	8.100397566414285	host	fusA	None	None	0.3733791683985539
gene-R0792_RS28550	4.087044075544793	5.3545792566654935	5.232679135804932	5.066951611590103	2.5569169592478667	4.65441747993597	5.232980989367035	3.9868135085542398	6.182497562923953	3.2883973569808607	3.9032212266076725	4.305194026277966	host	gene-R0792_RS28550	None	None	0.2051963241354144
gene-R0792_RS12680	5.610759207325512	5.871187139441764	6.627428152071839	6.929997007564706	3.9877958486678335	3.1084160792158277	3.4466911247030945	2.9175754134532443	3.4264582549131317	4.17215255923736	3.395543999956193	4.398973594211987	host	azoR3	None	None	0.4053628811798007
gene-R0792_RS23675	25.79758623336351	28.79116077237831	32.49961973649998	31.539325747550148	15.977807285678406	30.236410952372147	33.92691160143382	24.71673550076319	47.88405311849634	26.74138110063069	34.4867021812677	28.846837937731618	host	gcvH	None	None	1.713941645796553
gene-R0792_RS18410	55.37722600402568	55.93335783149762	58.410314800273156	63.319110893530194	31.465339476996526	45.8081625928438	48.23198738332393	42.44894325634626	41.27849399469375	29.523897303496863	31.590838682611306	38.64546378729375	host	gene-R0792_RS18410	None	None	2.6135780826778077
gene-R0792_RS08025	0.12546525291198116	0.3606987697149868	0.40715874388804985	0.1586116962159195	0.14637878415350195	0.10995058528135325	0.4105335254284576	0.1384392768246107	0.4254905608615533	0.5180893506828599	0.1246391794152016	0.4208854020095522	host	gene-R0792_RS08025	None	None	0.07978020899895714
