Geneid	10_R1	10_R2	10_R3	50_R1	50_R2	50_R3	90_R1	90_R2	90_R3	Entity	Symbol
gene-SPD_RS02505	299	535	518	311	431	291	201	304	180	host	gene-SPD_RS02505
gene-SPD_RS00975	781	1214	1141	736	1123	673	441	668	409	host	uvrA
gene-SPD_RS07040	1	2	5	3	7	1	3	4	3	host	gene-SPD_RS07040
gene-SPD_RS03975	612	1069	939	658	950	584	591	786	597	host	gene-SPD_RS03975
gene-SPD_RS09415	464	647	629	372	568	324	326	361	270	host	asnA
gene-SPD_RS09970	8	8	9	9	11	4	11	10	13	host	gene-SPD_RS09970
gene-SPD_RS00065	23	26	25	39	103	28	28	28	26	host	gene-SPD_RS00065
gene-SpSL1_45	8	13	20	4034	2765	3913	14074	18377	12793	phage	gene-SpSL1_45
gene-SPD_RS07520	26	42	33	9	24	18	13	14	5	host	gene-SPD_RS07520
gene-SPD_RS06960	279	351	371	239	350	216	209	233	204	host	glyQ
gene-SpSL1_12	1986	3367	3215	1412	1757	1034	571	734	420	phage	gene-SpSL1_12
gene-SPD_RS01495	1526	2730	2154	1605	2123	1461	932	1410	1054	host	rpsI
gene-SPD_RS04775	139	303	291	91	122	79	76	98	47	host	adcAII
gene-SPD_RS00705	177	308	273	95	137	119	118	139	80	host	gene-SPD_RS00705
gene-SPD_RS04730	208	455	504	227	368	197	221	259	168	host	rocS
gene-SPD_RS05705	381	521	564	399	656	370	237	352	241	host	gene-SPD_RS05705
gene-SPD_RS11830	27	27	43	22	32	21	16	11	8	host	gene-SPD_RS11830
gene-SPD_RS05175	600	978	995	661	1049	615	507	722	488	host	gene-SPD_RS05175
gene-SPD_RS11730	15	24	26	8	12	9	11	8	13	host	gene-SPD_RS11730
gene-SPD_RS03405	14	20	12	13	16	11	7	6	8	host	thiE
gene-SPD_RS00640	38	79	64	68	53	42	30	44	32	host	gene-SPD_RS00640
gene-SPD_RS08980	4	16	13	6	9	10	37	36	19	host	gene-SPD_RS08980
gene-SPD_RS07450	460	858	664	558	791	446	371	543	362	host	gene-SPD_RS07450
gene-SPD_RS12080	26	35	37	29	48	21	12	40	15	host	gene-SPD_RS12080
gene-SPD_RS07080	353	502	485	307	484	257	188	257	158	host	gene-SPD_RS07080
gene-SPD_RS00180	1172	1771	1774	725	1191	728	480	712	418	host	polA
gene-SPD_RS02655	60	90	131	47	90	65	66	76	34	host	gene-SPD_RS02655
gene-SPD_RS10545	9	26	31	14	14	5	9	12	6	host	gene-SPD_RS10545
gene-SPD_RS08760	514	767	709	309	484	280	174	245	141	host	gene-SPD_RS08760
gene-SPD_RS11890	40	84	72	38	86	55	16	34	28	host	gene-SPD_RS11890
gene-SPD_RS00875	363	756	709	365	494	369	411	511	313	host	gene-SPD_RS00875
gene-SPD_RS02340	95	192	153	82	101	71	50	69	44	host	gene-SPD_RS02340
gene-SPD_RS07735	47	94	80	57	76	39	70	78	47	host	gene-SPD_RS07735
gene-SPD_RS08235	663	1055	1007	728	1045	613	636	929	523	host	gmk
gene-SPD_RS00935	32	60	58	42	76	39	23	23	15	host	ribE
gene-SPD_RS05995	432	636	680	397	639	391	279	418	249	host	gene-SPD_RS05995
gene-SPD_RS04845	109	138	118	86	147	99	59	73	45	host	dapA
gene-SPD_RS01870	2810	4117	3943	2266	3646	2236	1680	2438	1677	host	gene-SPD_RS01870
gene-SPD_RS00540	237	353	307	143	253	155	98	144	81	host	gene-SPD_RS00540
gene-SPD_RS06900	410	565	616	341	573	337	398	392	259	host	gene-SPD_RS06900
gene-SPD_RS00525	246	363	363	324	669	296	312	505	249	host	gene-SPD_RS00525
gene-SPD_RS09540	345	511	443	218	336	214	142	213	135	host	gene-SPD_RS09540
gene-SPD_RS07605	733	1061	1083	708	1175	602	408	653	340	host	gene-SPD_RS07605
gene-SPD_RS01510	0	1	1	0	1	0	2	4	2	host	gene-SPD_RS01510
gene-SPD_RS06685	415	688	693	480	764	417	382	465	342	host	gene-SPD_RS06685
gene-SPD_RS00635	125	169	187	163	211	112	79	99	79	host	gene-SPD_RS00635
gene-SPD_RS04625	74	173	193	64	86	53	69	109	67	host	gene-SPD_RS04625
gene-SPD_RS05685	408	566	651	334	537	281	297	379	237	host	gene-SPD_RS05685
gene-SPD_RS02570	418	653	616	358	531	297	357	510	276	host	ccrZ
gene-SPD_RS00370	16	31	34	19	58	22	20	28	20	host	gene-SPD_RS00370
gene-SPD_RS03080	83	130	137	41	87	39	42	60	31	host	gene-SPD_RS03080
gene-SPD_RS08100	268	314	323	249	468	244	155	222	137	host	nrdR
gene-SPD_RS05190	1011	1462	1485	794	1383	704	790	1041	631	host	obgE
gene-SPD_RS10810	2933	5174	4865	2551	4414	2464	2551	3638	2199	host	pcsB
