Geneid	0	2.5	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b4740	21.087798505322816	19.71822865982124	3.8489051152089937	1.7067974509153294	0.6796204654804676	1.9767628844422132	host	ymgM	None	None	9.73815456226315
gene-T4p194	0.037019460102998045	15.793583227520516	21.36919640724352	34.630393691225805	239.8831431619964	224.23519420128514	phage	29	late	late	125.42098424427863
gene-b3425	93.12456766518989	32.267529272442005	9.080817861482785	3.9770774356009526	1.021459701031362	2.642165196896387	host	glpE	None	None	50.43894892404233
gene-b1465	1.6617811368178432	1.0747122993768659	0.4361181676704744	0.2911184797969516	0.28181100477196164	0.8796791048985247	host	narV	None	None	0.4033605431680017
gene-b1757	2.4844073004037224	2.2045764179794256	0.6922654631396694	0.5534397426385304	0.3049503018632274	0.7877791124518552	host	ynjE	None	None	0.6372221643365085
gene-b3911	33.67494842040087	42.95010624117973	10.591974842602795	4.418827100406345	2.5998812991124227	2.868063792734122	host	cpxA	None	None	19.844075590404564
gene-b2108	0.523911259581267	0.7007608889688915	0.5633090820887733	0.863239667932191	0.33842350028453927	0.5312812450655152	host	yehA	None	None	0.22953825701082475
gene-b2440	5.154132562003308	4.61602640739001	1.8422492508346489	0.8755515998784249	0.5178720153913989	1.038828978241428	host	eutC	None	None	2.0812051918540115
gene-b0647	1.1246570061683738	1.1004084333884567	0.5203290987647037	0.5988698893305845	0.24284731024978415	0.7996765992063041	host	ybeT	None	None	0.2793919958664048
gene-b4598	196.5143993544285	51.581818289552515	25.250453908715365	15.392376739071459	3.3184171995803613	3.9760248362157498	host	yncL	None	None	121.90084359032132
gene-b0985	1.7050522268049904	1.423198302715408	0.6061124963359269	0.33400046218453344	0.22696267351150842	0.7198799218937512	host	gfcC	None	None	0.4941478660551072
gene-b0169	1952.393108926869	1925.8027027409044	968.2475540360588	320.30208903835523	191.74742526165875	166.41309849223742	host	rpsB	None	None	782.5022268590202
gene-b3956	207.4350154034195	181.9836525412677	63.47237246843378	15.536815754525222	8.726317923505299	8.336934372310601	host	ppc	None	None	169.796341146908
gene-b0125	160.3903710610565	98.29971845867344	27.970402148298966	12.293323774934732	5.188491989280347	7.038497674429201	host	hpt	None	None	66.37326642783647
gene-b2916	40.335525775123244	17.052632167547877	4.86620171460804	3.0764626889545252	2.0274646306109108	1.5869965605148768	host	argP	None	None	17.75558205948182
gene-b1427	10.843131576158022	4.953531075205371	1.4574310954198462	0.7982613394691762	0.5169317481225202	0.6302343345220391	host	rimL	None	None	4.457414845604327
gene-b3514	4.041510662064708	5.177448371620203	1.9019183583458377	0.9085170763548798	0.7284692376951605	1.1588267087950954	host	mdtF	None	None	1.3150896126405045
gene-b2881	17.69475058162576	1.8459162575594965	0.870943218355801	0.6820682578078358	0.3573763855129848	0.7848634977758311	host	xdhD	None	None	22.50545791482605
gene-b2123	1.7484662689274408	2.0473988709482214	0.5520738745991919	0.3181926931419948	0.3150767987382765	0.5105906570598243	host	yehR	None	None	0.654871494796927
gene-b2368	0.9840242778569596	1.025667539754534	0.39287591158415425	0.24579304360745427	0.25709318068109005	0.5264683646281088	host	emrK	None	None	0.3179623761427346
